server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;1;1.0;19.0;1;26;19.0;18.0
3;1;1.0;6.0;0;9;5.0;5.0
5;1;1.0;26.0;2;22;25.0;25.0
7;1;1.0;24.0;3;20;24.0;23.0
8;4;4.0;32.0;5;1;28.0;28.0
9;4;4.0;29.0;4;13;24.0;25.0
10;4;4.0;29.0;6;9;26.0;25.0
11;6;6.0;14.0;8;21;10.0;8.0
12;6;6.0;22.0;7;18;15.0;16.0
0;8;8.0;9.0;9;25;2.0;1.0
6;11;11.0;29.0;10;6;19.0;18.0
13;12;12.0;18.0;13;25;4.0;6.0
14;12;12.0;36.0;11;16;27.0;24.0
15;12;12.0;34.0;12;17;21.0;22.0
16;12;12.0;22.0;14;9;10.0;10.0
17;12;12.0;28.0;16;14;15.0;16.0
18;12;12.0;40.0;17;16;28.0;28.0
2;15;15.0;38.0;18;16;24.0;23.0
4;15;15.0;17.0;19;27;3.0;2.0
0;15;15.0;39.0;20;29;25.0;24.0
19;16;16.0;31.0;21;17;16.0;15.0
3;16;16.0;46.0;22;28;29.0;30.0
11;16;16.0;20.0;23;8;6.0;4.0
4;17;17.0;38.0;26;22;20.0;21.0
13;16;18.0;31.0;24;8;15.0;13.0
1;17;19.0;41.0;25;8;22.0;22.0
11;17;20.0;37.0;27;25;18.0;17.0
16;22;22.0;53.0;36;0;27.0;31.0
12;22;22.0;39.0;38;23;17.0;17.0
7;24;24.0;37.0;47;22;11.0;13.0
5;22;26.0;33.0;35;26;7.0;7.0
17;25;28.0;37.0;52;29;8.0;9.0
6;25;29.0;38.0;57;0;7.0;9.0
9;26;29.0;55.0;60;17;26.0;26.0
10;28;29.0;46.0;61;14;17.0;17.0
19;23;31.0;43.0;44;0;11.0;12.0
13;25;31.0;48.0;58;8;15.0;17.0
8;31;32.0;59.0;64;8;27.0;27.0
5;32;33.0;37.0;67;0;1.0;4.0
15;32;34.0;36.0;69;2;2.0;2.0
14;19;36.0;41.0;29;13;7.0;5.0
15;19;36.0;62.0;31;26;24.0;26.0
17;22;37.0;61.0;33;8;24.0;24.0
11;22;37.0;52.0;37;15;16.0;15.0
5;23;37.0;64.0;41;20;27.0;27.0
7;23;37.0;38.0;42;29;1.0;1.0
2;23;38.0;47.0;43;2;8.0;9.0
4;23;38.0;57.0;45;6;21.0;19.0
6;23;38.0;52.0;46;10;10.0;14.0
7;24;38.0;60.0;49;20;24.0;22.0
0;24;39.0;50.0;50;10;11.0;11.0
12;25;39.0;56.0;51;23;17.0;17.0
18;25;40.0;57.0;53;0;18.0;17.0
14;41;41.0;42.0;78;23;6.0;1.0
1;41;41.0;67.0;79;16;26.0;26.0
14;26;42.0;43.0;59;26;1.0;1.0
19;31;43.0;67.0;62;21;22.0;24.0
14;31;43.0;63.0;63;15;18.0;20.0
3;46;46.0;68.0;86;27;23.0;22.0
10;32;46.0;63.0;66;2;18.0;17.0
