server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;0;0.0;21.0;0;7;21.0;21.0
2;0;0.0;7.0;1;27;6.0;7.0
3;1;1.0;24.0;2;19;24.0;23.0
4;1;1.0;16.0;3;9;13.0;15.0
5;2;2.0;22.0;5;12;21.0;20.0
7;2;2.0;22.0;4;22;21.0;20.0
8;2;2.0;28.0;6;10;24.0;26.0
9;7;7.0;28.0;7;27;20.0;21.0
11;9;9.0;19.0;8;3;11.0;10.0
16;9;9.0;31.0;9;29;23.0;22.0
17;9;9.0;37.0;10;24;28.0;28.0
10;12;12.0;40.0;11;12;26.0;28.0
19;12;12.0;33.0;12;26;22.0;21.0
15;12;12.0;23.0;13;20;18.0;11.0
0;12;14.883613519145415;38.88361351914541;14;19;23.0;24.0
6;13;15.470315270445782;43.47031527044578;15;3;28.0;28.0
4;16;16.0;21.0;18;29;5.0;5.0
13;15;16.401949607417578;32.40194960741758;16;20;17.0;16.0
11;18;19.0;22.0;20;8;2.0;3.0
18;18;20.076308221584767;34.07630822158477;22;5;16.0;14.0
2;15;20.721847946802434;25.721847946802434;17;20;8.0;5.0
4;16;21.0;33.0;19;0;11.0;12.0
1;18;21.0;35.0;21;28;13.0;14.0
12;25;25.0;53.0;25;16;27.0;28.0
14;25;25.0;48.0;26;24;28.0;23.0
15;25;25.0;33.0;23;24;7.0;8.0
11;25;25.0;30.0;24;28;5.0;5.0
2;28;28.0;32.0;27;18;3.0;4.0
5;28;28.0;57.0;28;25;29.0;29.0
7;28;28.0;44.0;29;17;15.0;16.0
9;29;29.0;30.0;30;12;1.0;1.0
3;29;29.0;35.0;31;21;7.0;6.0
8;29;29.0;44.0;32;2;15.0;15.0
11;30;30.0;50.0;38;23;22.0;20.0
9;29;30.0;31.0;34;13;1.0;1.0
16;31;31.0;42.0;42;3;11.0;11.0
9;29;31.0;38.0;35;21;10.0;7.0
2;29;32.0;38.0;36;27;6.0;6.0
13;30;32.40194960741758;48.40194960741758;39;20;17.0;16.0
15;30;33.0;60.0;40;16;29.0;27.0
19;31;33.0;36.0;41;6;2.0;3.0
4;31;33.0;40.0;43;4;7.0;7.0
18;33;34.07630822158477;49.07630822158477;44;13;18.0;15.0
3;33;35.0;60.0;45;24;24.0;25.0
1;33;35.0;50.0;46;2;14.0;15.0
19;33;36.0;65.0;47;0;29.0;29.0
17;34;37.0;62.0;48;2;26.0;25.0
2;35;38.0;48.0;49;28;6.0;10.0
9;35;38.0;65.0;50;3;26.0;27.0
0;40;40.0;70.0;51;4;29.0;30.0
10;40;40.0;47.0;52;9;6.0;7.0
4;41;41.0;46.0;54;12;6.0;5.0
16;41;42.0;66.0;53;28;23.0;24.0
