server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;2;2.0;9.0;1;4;6.0;7.0
2;6;6.0;25.0;2;11;19.0;19.0
0;7;7.0;26.0;4;20;17.0;19.0
3;7;7.0;22.0;8;1;18.0;15.0
8;7;7.0;14.0;6;6;8.0;7.0
9;7;7.0;36.0;5;0;28.0;29.0
10;7;7.0;15.0;7;26;8.0;8.0
4;8;8.0;36.0;9;24;28.0;28.0
12;8;8.0;36.0;10;16;29.0;28.0
13;9;9.0;23.0;11;21;13.0;14.0
16;9;9.0;15.0;12;8;8.0;6.0
17;10;10.0;31.0;18;1;21.0;21.0
15;10;10.0;13.0;13;10;1.0;3.0
1;10;10.0;38.0;14;3;29.0;28.0
18;10;11.285056952140105;39.2850569521401;15;28;29.0;28.0
14;10;12.86128994913511;24.86128994913511;16;24;12.0;12.0
15;10;13.0;36.0;17;7;23.0;23.0
6;13;13.964938427274546;35.96493842727455;20;15;21.0;22.0
8;14;14.0;30.0;21;16;16.0;16.0
16;14;15.0;31.0;22;29;15.0;16.0
19;17;17.0;44.0;24;14;28.0;27.0
5;17;17.0;27.0;23;27;11.0;10.0
10;17;17.0;44.0;25;25;27.0;27.0
7;18;19.12773693369058;27.12773693369058;26;13;6.0;8.0
11;18;21.05547419631501;23.05547419631501;27;3;6.0;2.0
3;22;22.0;39.0;28;4;17.0;17.0
11;25;25.0;44.0;30;19;20.0;19.0
14;25;25.0;51.0;36;0;28.0;26.0
13;25;25.0;53.0;29;16;29.0;28.0
2;25;25.0;42.0;31;27;17.0;17.0
0;25;26.0;43.0;32;20;17.0;17.0
5;25;27.0;45.0;33;4;20.0;18.0
7;25;27.12773693369058;53.127736933690585;34;16;28.0;26.000000000000004
17;28;31.0;55.0;44;12;23.0;24.0
16;28;31.0;42.0;42;7;11.0;11.0
6;28;35.96493842727455;61.96493842727455;45;17;28.0;26.0
15;33;36.0;39.0;58;3;3.0;3.0
4;33;36.0;45.0;61;10;12.0;9.0
9;25;36.0;38.0;35;10;1.0;2.0
9;25;38.0;53.0;37;21;14.0;15.0
1;26;38.0;62.0;38;0;20.0;24.0
15;26;39.0;52.0;39;28;14.0;13.0
3;26;39.0;53.0;40;9;14.0;14.0
18;28;39.2850569521401;69.28505695214011;43;7;29.0;30.000000000000007
16;34;42.0;46.0;71;3;3.0;4.0
0;34;43.0;64.0;72;19;19.0;21.0
11;34;44.0;52.0;74;24;7.0;8.0
19;34;44.0;69.0;70;0;23.0;25.0
5;34;45.0;49.0;76;8;4.0;4.0
4;28;45.0;55.0;46;29;11.0;10.0
16;28;46.0;51.0;47;21;6.0;5.0
5;28;49.0;61.0;48;24;13.0;12.0
14;38;51.0;54.0;82;16;2.0;3.0
16;41;51.0;79.0;85;26;27.0;28.0
12;29;51.50027637744521;81.5002763774452;49;8;29.0;29.999999999999993
11;29;52.0;78.0;51;20;28.0;26.0
15;30;52.0;83.0;52;5;29.0;31.0
13;42;53.0;57.0;90;20;2.0;4.0
9;30;53.0;80.0;53;27;27.0;27.0
3;30;53.0;82.0;54;10;29.0;29.0
7;33;53.127736933690585;75.12773693369058;56;19;22.0;22.0
14;48;54.0;76.0;98;17;22.0;22.0
2;33;54.20407785319874;82.20407785319874;57;10;29.0;28.0
17;33;55.0;60.0;60;8;4.0;5.0
4;33;55.0;68.0;64;7;15.0;13.0
13;50;57.0;59.0;102;20;2.0;2.0
10;33;57.1340428166596;66.1340428166596;65;29;9.0;9.0
