server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
2;3;3.0;8.0;0;29;8.0;5.0
3;4;4.0;18.0;2;25;7.0;14.0
4;4;4.0;5.0;3;9;1.0;1.0
7;4;4.0;32.0;7;23;29.0;28.0
9;4;4.0;31.0;16;24;26.0;27.0
11;4;4.0;7.0;5;23;3.0;3.0
14;4;4.0;7.0;1;22;4.0;3.0
16;4;4.0;7.0;4;7;4.0;3.0
17;4;4.0;9.0;6;13;5.0;5.0
18;4;4.0;17.0;8;17;12.0;13.0
15;4;4.0;29.0;9;4;24.0;25.0
4;4;5.0;32.0;10;12;26.0;27.0
16;4;7.0;24.0;11;24;17.0;17.0
11;4;7.0;23.0;12;8;15.0;16.0
14;4;7.0;13.0;13;20;5.0;6.0
2;4;8.0;17.0;14;29;8.0;9.0
1;4;8.902750267246581;32.90275026724658;15;21;24.0;24.0
17;9;9.0;34.0;20;16;20.0;25.0
12;9;10.554275499735054;20.554275499735056;19;7;11.0;10.000000000000002
6;12;12.782790750592552;25.782790750592554;25;17;15.0;13.000000000000002
14;12;13.0;23.0;27;11;10.0;10.0
13;11;13.756624893963547;17.756624893963547;22;27;3.0;4.0
5;14;14.174849454260185;28.174849454260183;32;26;17.0;13.999999999999998
10;12;15.560775409417424;29.560775409417424;29;19;15.0;14.0
18;16;17.0;32.0;42;20;15.0;15.0
2;11;17.0;31.0;24;3;14.0;14.0
13;7;17.756624893963547;27.756624893963547;18;7;9.0;10.0
3;18;18.0;43.0;49;12;25.0;25.0
19;18;18.191601558664686;32.191601558664686;48;1;15.0;14.0
12;18;20.554275499735056;47.554275499735056;43;15;26.0;27.0
11;23;23.0;29.0;56;3;5.0;6.0
14;23;23.0;33.0;55;11;10.0;10.0
8;22;23.80696596673582;47.80696596673582;53;20;25.0;23.999999999999996
16;9;24.0;36.0;21;11;12.0;12.0
6;11;25.782790750592554;28.782790750592554;23;4;5.0;3.0
13;26;27.756624893963547;37.75662489396355;63;2;11.0;10.0
5;14;28.174849454260183;53.17484945426018;31;19;24.0;25.0
0;27;28.407333770571014;52.407333770571014;65;7;22.0;24.0
6;14;28.782790750592554;43.782790750592554;33;21;13.0;15.0
11;14;29.0;42.0;35;22;14.0;13.0
15;14;29.0;42.0;36;7;13.0;13.0
10;16;29.560775409417424;35.560775409417424;38;28;6.0;6.0
9;16;31.0;55.0;39;12;28.0;24.0
2;16;31.0;37.0;41;27;8.0;6.0
18;18;32.0;54.0;45;1;26.0;22.0
7;18;32.0;54.0;46;12;22.0;22.0
19;18;32.191601558664686;52.191601558664686;47;18;20.0;20.0
1;21;32.90275026724658;36.90275026724658;51;12;4.0;4.0
14;33;33.0;57.0;71;2;21.0;24.0
17;22;34.0;44.0;52;28;6.0;10.0
10;23;35.560775409417424;59.560775409417424;54;9;24.0;24.0
16;23;36.0;50.0;57;27;16.0;14.0
1;24;36.90275026724658;40.90275026724658;58;11;5.0;4.0
2;24;37.0;59.0;59;24;22.0;22.0
13;26;37.75662489396355;48.75662489396355;61;28;12.0;11.0
1;26;40.90275026724658;44.90275026724658;64;9;5.0;4.0
11;42;42.0;60.0;73;6;17.0;18.0
15;28;42.0;70.0;66;29;28.0;28.0
6;43;43.782790750592554;59.782790750592554;77;2;15.0;16.0
17;29;44.0;55.0;67;23;13.0;11.0
1;32;44.90275026724658;45.90275026724658;70;10;1.0;1.0
1;45;45.90275026724658;54.90275026724658;83;4;7.0;9.0
12;36;47.554275499735056;55.554275499735056;72;8;8.0;8.0
8;43;47.80696596673582;73.80696596673582;74;20;25.0;26.0
13;43;48.75662489396355;50.75662489396355;75;6;3.0;2.0
16;49;50.0;76.0;97;2;24.0;26.0
13;49;50.75662489396355;67.75662489396355;88;11;19.0;17.0
19;49;52.191601558664686;65.19160155866469;99;5;13.0;13.0
4;49;52.31133858058907;71.31133858058908;95;0;20.0;19.000000000000007
0;52;52.407333770571014;65.40733377057101;104;1;14.0;13.0
5;44;53.17484945426018;66.17484945426018;78;20;13.0;13.0
18;54;54.0;56.0;105;22;4.0;2.0
7;54;54.0;71.0;108;20;17.0;17.0
1;44;54.90275026724658;57.90275026724658;79;12;4.0;3.0
9;44;55.0;79.0;81;17;24.0;24.0
17;45;55.0;80.0;82;1;28.0;25.0
12;45;55.554275499735056;56.554275499735056;85;28;3.0;1.0
18;49;56.0;70.0;89;2;14.0;14.0
12;49;56.554275499735056;77.55427549973506;90;1;20.0;21.0
14;57;57.0;58.0;111;13;2.0;1.0
1;49;57.90275026724658;60.90275026724658;91;25;2.0;3.0
14;49;58.0;62.0;93;22;4.0;4.0
2;59;59.0;60.0;114;28;2.0;1.0
10;49;59.560775409417424;66.56077540941743;94;28;6.0;7.000000000000007
6;49;59.782790750592554;67.78279075059255;96;4;5.0;8.0
2;60;60.0;64.0;122;16;4.0;4.0
1;49;60.90275026724658;67.90275026724657;98;28;7.0;6.999999999999993
14;62;62.0;87.0;126;12;25.0;25.0
2;62;64.0;72.0;125;2;7.0;8.0
19;49;65.19160155866469;86.19160155866469;100;18;20.0;21.0
0;49;65.40733377057101;93.40733377057101;101;27;28.0;28.0
5;49;66.17484945426018;92.17484945426018;102;17;26.0;26.0
10;54;66.56077540941743;70.56077540941743;106;10;4.0;4.0
13;54;67.75662489396355;75.75662489396355;107;24;8.0;8.0
6;54;67.78279075059255;80.78279075059255;109;13;13.0;13.0
