server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;29.0;0;23;27.0;28.0
1;1;1.0;8.0;1;18;7.0;7.0
2;2;2.0;11.0;2;5;11.0;9.0
3;2;2.0;4.0;3;15;1.0;2.0
4;7;7.0;12.0;4;13;8.0;5.0
5;7;7.0;20.0;5;18;12.0;13.0
7;7;7.0;31.0;6;2;24.0;24.0
9;8;8.0;25.0;7;28;18.0;17.0
10;9;9.0;20.0;8;9;13.0;11.0
13;10;10.0;11.0;10;24;2.0;1.0
14;10;10.0;21.0;9;27;10.0;11.0
11;11;11.0;39.0;11;0;28.0;28.0
16;11;11.0;16.0;12;10;4.0;5.0
17;12;12.0;33.0;17;3;21.0;21.0
19;12;12.0;37.0;24;10;25.0;25.0
13;12;12.0;34.0;19;8;21.0;22.0
3;12;12.0;17.0;14;27;5.0;5.0
4;12;12.0;35.0;23;17;24.0;23.0
1;12;12.0;36.0;13;16;25.0;24.0
2;12;12.0;23.0;15;16;12.0;11.0
6;12;12.36377035077334;21.36377035077334;16;1;10.0;9.0
16;12;16.0;23.0;18;19;7.0;7.0
3;12;17.0;36.0;20;26;18.0;19.0
18;12;19.417822451197452;37.41782245119745;21;23;17.0;18.0
10;12;20.0;42.0;22;15;21.0;22.0
5;12;20.0;38.0;25;27;18.0;18.0
12;12;20.11037883210154;27.11037883210154;27;26;8.0;7.0
14;14;21.0;44.0;28;17;23.0;23.0
15;16;21.026816454758077;45.02681645475808;29;25;20.0;24.0
6;16;21.36377035077334;34.363770350773336;30;16;13.0;12.999999999999996
8;16;21.834457632004245;32.834457632004245;31;17;11.0;11.0
16;23;23.0;50.0;39;9;27.0;27.0
2;19;23.0;39.0;32;26;16.0;16.0
9;25;25.0;51.0;45;24;25.0;26.0
12;21;27.11037883210154;54.11037883210154;33;24;28.0;27.0
0;28;29.0;50.0;51;6;21.0;21.0
7;21;31.0;48.0;34;3;16.0;17.0
8;23;32.834457632004245;55.834457632004245;36;15;23.0;23.0
17;23;33.0;52.0;37;7;20.0;19.0
13;34;34.0;55.0;64;8;21.0;21.0
6;23;34.363770350773336;40.363770350773336;38;25;6.0;6.0
4;23;35.0;59.0;40;19;25.0;24.0
3;35;36.0;61.0;68;0;25.0;25.0
1;23;36.0;37.0;41;20;2.0;1.0
19;26;37.0;44.0;46;21;11.0;7.0
1;26;37.0;38.0;47;20;2.0;1.0
18;26;37.41782245119745;52.41782245119745;48;15;16.0;15.0
5;38;38.0;63.0;74;12;25.0;25.0
1;27;38.0;39.0;49;20;2.0;1.0
11;27;39.0;43.0;50;4;3.0;4.0
1;28;39.0;44.0;53;22;3.0;5.0
2;28;39.0;54.0;54;23;16.0;15.0
6;28;40.363770350773336;68.36377035077334;55;4;27.0;28.0
10;28;42.0;56.0;56;9;13.0;14.0
11;43;43.0;52.0;78;25;10.0;9.0
19;30;44.0;65.0;57;7;21.0;21.0
14;32;44.0;74.0;58;6;29.0;30.0
1;32;44.0;62.0;59;11;17.0;18.0
15;34;45.02681645475808;67.02681645475808;61;14;23.0;22.0
7;47;48.0;53.0;79;4;4.0;5.0
16;49;50.0;71.0;86;4;23.0;21.0
0;47;50.0;77.0;84;7;27.0;27.0
9;34;51.0;64.0;62;7;13.0;13.0
17;34;52.0;73.0;65;25;20.0;21.0
11;34;52.0;62.0;66;27;8.0;10.0
18;49;52.41782245119745;77.41782245119745;94;14;25.0;25.0
7;34;53.0;55.0;67;20;2.0;2.0
2;49;54.0;74.0;96;4;21.0;20.0
12;36;54.11037883210154;69.11037883210153;71;0;17.0;14.999999999999993
13;36;55.0;76.0;72;7;22.0;21.0
7;38;55.0;59.0;73;4;4.0;4.0
8;39;55.834457632004245;80.83445763200424;75;7;29.0;25.0
10;39;56.0;69.0;76;27;12.0;13.0
4;52;59.0;84.0;104;19;25.0;25.0
7;52;59.0;81.0;105;14;25.0;22.0
3;53;61.0;80.0;107;26;18.0;19.0
11;43;62.0;83.0;77;20;20.0;21.0
1;47;62.0;69.0;80;13;9.0;7.0
5;58;63.0;72.0;110;24;10.0;9.0
9;47;64.0;85.0;82;10;24.0;21.0
19;62;65.0;89.0;112;7;21.0;24.0
15;62;67.02681645475808;89.02681645475808;113;2;22.0;22.0
6;47;68.36377035077334;91.36377035077334;83;27;22.0;23.0
10;63;69.0;80.0;115;2;11.0;11.0
1;49;69.0;80.0;87;23;13.0;11.0
12;49;69.11037883210153;97.11037883210153;88;7;28.0;28.0
16;49;71.0;96.0;89;4;23.0;25.0
5;49;72.0;90.0;90;3;21.0;18.0
17;49;73.0;90.0;91;11;16.0;17.0
14;49;74.0;88.0;92;10;14.0;14.0
2;65;74.0;99.0;123;28;24.0;25.0
13;49;76.0;77.0;93;12;3.0;1.0
13;65;77.0;85.0;125;6;8.0;8.0
0;49;77.0;90.0;95;18;10.0;13.0
18;65;77.41782245119745;99.41782245119745;127;2;22.0;22.0
3;49;80.0;89.0;97;29;8.0;9.0
10;50;80.0;106.0;98;22;26.0;26.0
1;50;80.0;111.0;99;1;27.0;31.0
8;50;80.83445763200424;108.83445763200424;100;11;29.0;28.0
7;50;81.0;104.0;101;9;23.0;23.0
11;52;83.0;100.0;103;26;18.0;17.0
4;52;84.0;98.0;106;23;14.0;14.0
13;76;85.0;108.0;139;0;23.0;23.0
9;77;85.0;87.0;140;2;2.0;2.0
9;77;87.0;95.0;142;19;6.0;8.0
14;53;88.0;101.0;108;24;14.0;13.0
19;57;89.0;95.0;109;20;6.0;6.0
3;58;89.0;91.0;111;15;1.0;2.0
17;62;90.0;107.0;114;9;15.0;17.0
5;65;90.0;99.0;116;16;8.0;9.0
0;82;90.0;101.0;151;24;10.0;11.0
3;83;91.0;105.0;153;1;15.0;14.0
6;84;91.36377035077334;92.36377035077334;154;23;1.0;1.0
6;84;92.36377035077334;110.36377035077334;156;10;19.0;18.0
9;65;95.0;109.0;117;5;15.0;14.0
16;65;96.0;98.0;118;3;1.0;2.0
12;85;97.11037883210153;117.11037883210153;160;28;18.0;20.0
16;65;98.0;125.0;119;9;27.0;27.0
4;65;98.0;103.0;121;29;4.0;5.0
5;88;99.0;101.0;165;17;2.0;2.0
2;65;99.0;109.0;122;19;11.0;10.0
18;88;99.41782245119745;128.41782245119745;169;19;26.0;29.0
11;66;100.0;104.0;128;12;7.0;4.0
