server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;8.0;1;5;8.0;7.0
2;1;1.0;22.0;3;9;19.0;21.0
3;1;1.0;17.0;4;2;15.0;16.0
4;1;1.0;14.0;0;6;12.0;13.0
6;1;1.0;12.0;2;27;14.0;11.0
7;4;4.0;18.0;6;0;15.0;14.0
8;4;4.0;5.0;5;20;1.0;1.0
9;4;4.0;13.0;7;15;10.0;9.0
10;5;5.0;32.0;9;11;25.0;27.0
11;5;5.0;7.0;8;19;1.0;2.0
12;5;5.0;11.0;10;17;5.0;6.0
13;5;5.0;15.0;11;24;11.0;10.0
14;5;5.0;13.0;12;5;8.0;8.0
16;5;5.0;29.0;13;0;25.0;24.0
17;5;5.0;7.0;14;24;2.0;2.0
19;6;6.0;17.0;15;9;9.0;11.0
8;7;7.0;17.0;18;23;7.0;10.0
17;7;7.0;36.0;16;12;28.0;29.0
11;7;7.0;31.0;17;3;24.0;24.0
0;8;8.0;32.0;22;28;24.0;24.0
18;8;8.516612156721557;29.516612156721557;21;11;22.0;21.0
12;8;11.0;30.0;20;27;19.0;19.0
15;8;11.299493338850112;32.29949333885011;23;21;22.0;21.0
6;11;12.0;27.0;24;11;13.0;15.0
14;13;13.0;41.0;27;18;27.0;28.0
9;11;13.0;18.0;25;8;5.0;5.0
4;14;14.0;18.0;29;3;3.0;4.0
13;14;15.0;40.0;31;23;25.0;25.0
8;12;17.0;23.0;26;16;7.0;6.0
19;13;17.0;43.0;28;21;26.0;26.0
3;14;17.0;22.0;30;29;5.0;5.0
9;18;18.0;39.0;33;26;22.0;21.0
7;14;18.0;30.0;32;5;12.0;12.0
4;18;18.0;25.0;34;24;7.0;7.0
1;20;20.0;32.0;35;11;8.0;12.0
5;24;24.0;28.0;41;12;4.0;4.0
8;24;24.0;52.0;36;12;28.0;28.0
2;24;24.0;45.0;37;18;20.0;21.0
3;24;24.0;37.0;38;4;13.0;13.0
4;24;25.0;29.0;39;22;3.0;4.0
6;27;27.0;41.0;46;11;13.0;14.0
5;26;28.0;36.0;45;23;10.0;8.0
16;24;29.0;40.0;40;5;10.0;11.0
4;26;29.0;52.0;43;5;23.0;23.0
18;26;29.516612156721557;56.51661215672156;44;10;28.0;27.0
12;28;30.0;49.0;47;20;18.0;19.0
7;29;30.0;33.0;48;26;3.0;3.0
1;32;32.0;40.0;49;11;8.0;8.0
11;32;32.0;61.0;50;21;29.0;29.0
10;32;32.0;43.0;51;1;13.0;11.0
15;35;35.0;51.0;54;5;15.0;16.0
7;35;35.0;47.0;52;3;11.0;12.0
0;35;35.0;61.0;53;8;22.0;26.0
5;36;36.0;52.0;57;8;16.0;16.0
17;36;36.0;49.0;56;16;13.0;13.0
3;37;37.0;56.0;59;28;20.0;19.0
9;38;39.0;44.0;66;8;5.0;5.0
1;37;40.0;50.0;58;5;11.0;10.0
16;38;40.0;64.0;61;0;25.0;24.0
13;38;40.0;59.0;62;29;16.0;19.0
14;38;41.0;49.0;63;1;10.0;8.0
6;38;41.0;44.0;64;26;3.0;3.0
19;38;43.0;70.0;65;23;26.0;27.0
10;38;43.0;44.0;67;3;1.0;1.0
10;44;44.0;58.0;83;12;15.0;14.0
9;44;44.0;51.0;70;15;10.0;7.0
6;44;44.0;56.0;68;11;13.0;12.0
7;46;47.0;58.0;90;18;10.0;11.0
17;46;49.0;64.0;88;25;13.0;15.0
12;44;49.0;61.0;69;2;11.0;12.0
14;44;49.0;56.0;71;3;7.0;7.0
1;46;50.0;58.0;94;13;9.0;8.0
15;44;51.0;74.0;72;21;22.0;23.0
9;44;51.0;55.0;73;5;4.0;4.0
5;44;52.0;79.0;74;6;28.0;27.0
8;47;52.0;78.0;98;7;24.0;26.0
4;44;52.0;62.0;75;0;11.0;10.0
9;47;55.0;61.0;100;16;5.0;6.0
14;44;56.0;84.0;76;28;28.0;28.0
3;44;56.0;60.0;77;19;1.0;4.0
6;44;56.0;82.0;78;15;29.0;26.0
18;52;56.51661215672156;61.51661215672156;104;16;4.0;5.0
1;44;58.0;80.0;79;21;22.0;22.0
7;44;58.0;68.0;80;17;11.0;10.0
10;52;58.0;85.0;108;17;27.0;27.0
13;44;59.0;61.0;81;10;1.0;2.0
3;52;60.0;61.0;110;11;1.0;1.0
11;44;61.0;68.0;82;17;7.0;7.0
12;44;61.0;71.0;84;26;7.0;10.0
13;52;61.0;67.0;114;12;6.0;6.0
0;44;61.0;64.0;85;27;3.0;3.0
9;46;61.0;76.0;86;14;16.0;15.0
3;52;61.0;73.0;117;5;13.0;12.0
18;52;61.51661215672156;86.51661215672155;118;7;25.0;24.999999999999993
2;52;61.89360009002253;76.89360009002253;119;21;15.0;15.0
4;46;62.0;80.0;87;26;15.0;18.0
16;46;64.0;69.0;89;17;4.0;5.0
17;46;64.0;67.0;92;23;5.0;3.0
0;55;64.0;73.0;126;6;10.0;9.0
17;55;67.0;82.0;127;21;15.0;15.0
13;46;67.0;72.0;93;12;6.0;5.0
11;55;68.0;89.0;130;22;23.0;21.0
7;55;68.0;96.0;131;7;28.0;28.0
16;46;69.0;94.0;95;13;21.0;25.0
19;46;70.0;82.0;96;13;14.0;12.0
12;47;71.0;80.0;97;29;11.0;9.0
13;58;72.0;77.0;139;12;6.0;5.0
0;47;73.0;79.0;99;17;5.0;6.0
3;59;73.0;82.0;141;22;8.0;9.0
15;47;74.0;95.0;101;3;19.0;21.0
9;52;76.0;101.0;102;0;24.0;25.0
2;52;76.89360009002253;90.89360009002253;105;3;14.0;14.0
13;60;77.0;82.0;146;4;10.0;5.0
8;52;78.0;84.0;107;18;6.0;6.0
5;52;79.0;91.0;111;1;13.0;12.0
0;52;79.0;96.0;112;19;17.0;17.0
1;65;80.0;87.0;151;28;6.0;7.0
12;52;80.0;86.0;115;22;5.0;6.0
4;52;80.0;101.0;116;11;19.0;21.0
19;66;82.0;90.0;155;19;9.0;8.0
17;66;82.0;102.0;154;17;18.0;20.0
13;70;82.0;110.0;157;9;27.0;28.0
3;70;82.0;96.0;159;5;13.0;14.0
6;71;82.0;100.0;160;0;17.0;18.0
8;71;84.0;90.0;163;16;7.0;6.0
14;53;84.0;94.0;122;1;10.0;10.0
10;71;85.0;90.0;166;22;3.0;5.0
12;71;86.0;110.0;167;15;27.0;24.0
18;54;86.51661215672155;115.51661215672155;123;10;28.0;29.0
1;55;87.0;91.0;128;14;5.0;4.0
11;55;89.0;103.0;129;0;14.0;14.0
8;56;90.0;100.0;132;27;11.0;10.0
19;56;90.0;116.0;134;4;26.0;26.0
10;77;90.0;91.0;177;3;1.0;1.0
2;77;90.89360009002253;103.89360009002253;178;29;11.0;13.0
5;56;91.0;106.0;135;17;19.0;15.0
1;58;91.0;110.0;138;27;19.0;19.0
10;59;91.0;120.0;142;13;27.0;29.0
16;59;94.0;104.0;143;5;10.0;10.0
14;59;94.0;123.0;145;0;27.0;29.0
15;61;95.0;96.0;147;26;1.0;1.0
15;84;96.0;98.0;189;26;1.0;2.0
7;64;96.0;111.0;148;12;11.0;15.0
0;65;96.0;102.0;152;29;4.0;6.0
