server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;12.0;0;28;9.0;11.0
1;1;1.0;9.0;1;27;6.0;8.0
2;1;1.0;15.0;2;28;14.0;14.0
3;2;2.0;9.0;3;13;9.0;7.0
4;2;2.0;18.0;4;23;15.0;16.0
5;4;4.0;11.0;5;13;7.0;7.0
7;4;4.0;13.0;6;24;9.0;9.0
8;9;9.0;14.0;7;17;6.0;5.0
9;9;9.0;19.0;8;13;8.0;10.0
10;10;10.0;18.0;9;19;9.0;8.0
13;10;10.0;37.0;10;2;27.0;27.0
14;10;10.0;35.0;11;20;28.0;25.0
12;13;13.0;16.0;12;17;2.0;3.0
16;13;13.0;37.0;13;15;23.0;24.0
17;13;13.0;16.0;14;25;2.0;3.0
18;13;13.0;30.0;15;13;15.0;17.0
19;13;13.0;23.0;16;24;9.0;10.0
3;13;13.0;40.0;17;11;27.0;27.0
8;14;14.0;19.0;18;3;5.0;5.0
5;14;14.0;36.0;19;15;24.0;22.0
1;14;14.0;36.0;20;15;22.0;22.0
7;14;14.0;22.0;21;24;9.0;8.0
0;14;14.0;41.0;22;1;28.0;27.0
15;16;16.0;45.0;27;3;25.0;29.0
17;16;16.0;22.0;24;22;6.0;6.0
12;16;16.0;29.0;23;29;12.0;13.0
2;16;16.0;37.0;25;21;18.0;21.0
10;16;18.0;42.0;26;11;21.0;24.0
4;18;18.0;46.0;28;18;29.0;28.0
8;18;19.0;46.0;30;29;27.0;27.0
9;18;19.0;29.0;31;0;12.0;10.0
11;18;19.4123551266758;41.4123551266758;32;24;23.0;22.0
6;21;21.0;31.0;38;4;12.0;10.0
17;21;22.0;44.0;33;29;19.0;22.0
7;21;22.0;23.0;34;15;3.0;1.0
19;21;23.0;31.0;35;23;9.0;8.0
7;21;23.0;38.0;36;10;14.0;15.0
12;24;29.0;48.0;50;13;19.0;19.0
9;24;29.0;33.0;51;5;2.0;4.0
18;29;30.0;59.0;58;17;27.0;29.0
6;21;31.0;33.0;37;10;6.0;2.0
19;21;31.0;32.0;39;1;1.0;1.0
19;32;32.0;33.0;59;1;1.0;1.0
6;21;33.0;54.0;40;13;22.0;21.0
19;21;33.0;36.0;41;6;1.0;3.0
9;21;33.0;56.0;43;19;25.0;23.0
14;34;35.0;39.0;67;2;5.0;4.0
19;22;36.0;49.0;44;29;12.0;13.0
5;22;36.0;65.0;46;18;28.0;29.0
1;24;36.0;58.0;49;15;22.0;22.0
16;26;37.0;64.0;52;15;23.0;27.0
13;28;37.0;46.0;53;3;8.0;9.0
2;28;37.0;44.0;54;8;8.0;7.0
7;29;38.0;42.0;56;26;5.0;4.0
14;29;39.0;53.0;57;6;13.0;14.0
3;32;40.0;55.0;60;9;13.0;15.0
0;41;41.0;50.0;72;3;4.0;9.0
11;32;41.4123551266758;66.4123551266758;61;27;25.0;25.000000000000007
10;32;42.0;48.0;62;14;4.0;6.0
7;32;42.0;60.0;63;28;17.0;18.0
17;32;44.0;65.0;64;2;20.0;21.0
2;34;44.0;63.0;66;21;18.0;19.0
15;45;45.0;68.0;76;6;22.0;23.0
13;46;46.0;73.0;81;22;26.0;27.0
8;34;46.0;69.0;68;15;23.0;23.0
4;34;46.0;75.0;69;18;29.0;29.0
12;34;48.0;60.0;70;29;12.0;12.0
10;36;48.0;56.0;71;10;7.0;8.0
19;42;49.0;53.0;73;15;1.0;4.0
0;50;50.0;69.0;88;21;15.0;19.0
19;51;53.0;76.0;92;18;22.0;23.0
14;45;53.0;56.0;74;2;5.0;3.0
6;45;54.0;81.0;75;18;27.0;27.0
3;45;55.0;63.0;77;1;11.0;8.0
10;56;56.0;74.0;101;3;17.0;18.0
14;56;56.0;61.0;99;3;6.0;5.0
9;46;56.0;80.0;78;4;24.0;24.0
1;57;58.0;75.0;105;11;17.0;17.0
18;57;59.0;78.0;104;12;20.0;19.0
12;46;60.0;76.0;80;2;16.0;16.0
14;47;61.0;86.0;83;23;26.0;25.0
3;47;63.0;89.0;85;24;24.0;26.0
2;50;63.0;66.0;86;6;4.0;3.0
16;64;64.0;89.0;114;5;24.0;25.0
17;64;65.0;75.0;116;8;10.0;10.0
5;50;65.0;79.0;87;24;14.0;14.0
2;66;66.0;69.0;118;7;1.0;3.0
11;51;66.4123551266758;72.4123551266758;89;26;6.0;6.0
15;67;68.0;94.0;121;18;24.0;26.0
8;51;69.0;93.0;91;1;23.0;24.0
0;54;69.0;92.0;94;14;23.0;23.0
2;67;69.0;85.0;124;23;10.0;16.0
11;70;72.4123551266758;95.4123551266758;127;6;22.0;23.0
7;70;72.66938576169429;80.66938576169429;129;16;9.0;8.0
13;55;73.0;89.0;95;9;15.0;16.0
10;70;74.0;100.0;131;1;25.0;26.0
17;70;75.0;100.0;132;9;27.0;25.0
1;55;75.0;104.0;96;7;26.0;29.0
4;70;75.0;101.0;134;27;26.0;26.0
19;70;76.0;88.0;135;23;9.0;12.0
12;55;76.0;88.0;97;29;12.0;12.0
5;56;79.0;98.0;102;5;19.0;19.0
9;72;80.0;87.0;140;9;6.0;7.0
7;57;80.66938576169429;93.66938576169429;103;24;9.0;13.0
6;72;81.0;94.0;142;0;15.0;13.0
2;72;85.0;94.0;144;27;8.0;9.0
14;59;86.0;111.0;106;23;26.0;25.0
9;59;87.0;106.0;107;1;19.0;19.0
19;62;88.0;97.0;109;23;9.0;9.0
12;62;88.0;91.0;110;17;2.0;3.0
16;62;89.0;105.0;112;26;18.0;16.0
13;62;89.0;118.0;113;16;27.0;29.0
3;64;89.0;114.0;115;2;25.0;25.0
12;66;91.0;105.0;117;4;9.0;14.0
0;66;92.0;100.0;119;28;9.0;8.0
7;67;93.66938576169429;101.66938576169429;120;16;9.0;8.0
6;80;94.0;109.0;158;23;14.0;15.0
15;67;94.0;96.0;123;4;1.0;2.0
2;68;94.0;113.0;125;29;20.0;19.0
11;80;95.4123551266758;96.4123551266758;163;20;2.0;1.0
15;70;96.0;118.0;130;22;23.0;22.0
11;71;96.4123551266758;113.4123551266758;136;1;17.0;17.0
19;71;97.0;120.0;137;10;23.0;23.0
5;72;98.0;115.0;139;25;18.0;17.0
17;72;100.0;118.0;141;29;19.0;18.0
10;72;100.0;118.0;145;6;18.0;18.0
0;72;100.0;127.0;146;29;27.0;27.0
4;86;101.0;129.0;173;25;26.0;28.0
7;90;101.66938576169429;110.66938576169429;174;24;9.0;9.0
1;72;104.0;105.0;147;1;1.0;1.0
16;90;105.0;132.0;178;10;27.0;27.0
12;90;105.0;132.0;177;8;26.0;27.0
1;91;105.0;127.0;180;15;22.0;22.0
9;91;106.0;113.0;181;18;6.0;7.0
7;72;110.66938576169429;132.6693857616943;148;6;21.0;22.0
14;73;111.0;128.0;150;17;16.0;17.0
8;73;111.17757397899773;127.17757397899773;151;14;17.0;16.0
9;96;113.0;119.0;188;6;9.0;6.0
2;75;113.0;114.0;153;7;1.0;1.0
11;96;113.4123551266758;122.4123551266758;191;11;9.0;9.0
3;75;114.0;125.0;155;10;11.0;11.0
2;75;114.0;141.0;157;2;29.0;27.0
5;80;115.0;135.0;160;1;20.0;20.0
15;98;118.0;138.0;197;1;18.0;20.0
17;80;118.0;125.0;162;26;6.0;7.0
10;102;118.0;126.0;206;29;7.0;8.0
13;84;118.0;142.0;165;25;24.0;24.0
9;84;119.0;125.0;166;9;6.0;6.0
19;86;120.0;121.0;167;1;1.0;1.0
19;86;121.0;140.0;168;0;18.0;19.0
11;86;122.4123551266758;141.4123551266758;170;2;20.0;19.0
6;86;124.20715821930021;133.2071582193002;171;20;8.0;8.999999999999986
17;90;125.0;148.0;179;1;25.0;23.0
9;91;125.0;138.0;182;12;13.0;13.0
3;91;125.0;145.0;183;16;20.0;20.0
10;93;126.0;129.0;185;15;3.0;3.0
1;110;127.0;132.0;225;16;7.0;5.0
0;111;127.0;130.0;226;3;4.0;3.0
8;109;127.17757397899773;154.1775739789977;224;11;29.0;26.999999999999986
14;96;128.0;153.0;189;28;25.0;25.0
10;96;129.0;139.0;194;19;9.0;10.0
4;97;129.0;136.0;195;0;7.0;7.0
0;111;130.0;142.0;233;11;10.0;12.0
16;114;132.0;150.0;235;4;18.0;18.0
12;98;132.0;143.0;196;26;12.0;11.0
1;98;132.0;154.0;198;29;23.0;22.0
7;100;132.6693857616943;145.6693857616943;201;0;15.0;13.0
6;115;133.2071582193002;146.2071582193002;241;0;15.0;13.0
5;102;135.0;153.0;205;20;19.0;18.0
4;102;136.0;142.0;208;19;6.0;6.0
15;102;138.0;160.0;209;19;23.0;22.0
9;116;138.0;139.0;246;9;6.0;1.0
10;103;139.0;143.0;210;23;4.0;4.0
9;103;139.0;158.0;211;16;19.0;19.0
19;105;140.0;149.0;214;22;9.0;9.0
2;121;141.0;152.0;251;14;12.0;11.0
11;121;141.4123551266758;165.4123551266758;252;12;23.0;24.0
13;106;142.0;161.0;215;12;21.0;19.0
0;106;142.0;168.0;216;14;23.0;26.0
4;107;142.0;165.0;219;28;23.0;23.0
12;109;143.0;165.0;223;22;21.0;22.0
10;111;143.0;174.0;227;12;29.0;31.0
3;111;145.0;160.0;228;27;16.0;15.0
7;111;145.6693857616943;149.6693857616943;229;26;5.0;4.0
6;111;146.2071582193002;161.2071582193002;232;22;17.0;15.0
17;114;148.0;177.0;236;15;29.0;29.0
18;115;148.01208815640177;175.01208815640177;239;17;27.0;27.0
19;115;149.0;151.0;240;11;4.0;2.0
7;115;149.6693857616943;166.6693857616943;242;11;20.0;17.0
16;127;150.0;167.0;275;4;18.0;17.0
19;127;151.0;175.0;272;10;23.0;24.0
2;129;152.0;157.0;277;0;4.0;5.0
14;115;153.0;157.0;245;26;5.0;4.0
5;129;153.0;154.0;278;28;1.0;1.0
5;134;154.0;158.0;282;10;4.0;4.0
1;134;154.0;164.0;283;4;9.0;10.0
8;119;154.1775739789977;176.1775739789977;247;28;21.0;22.0
14;119;157.0;160.0;249;10;3.0;3.0
2;121;157.0;183.0;250;26;27.0;26.0
9;122;158.0;176.0;254;23;14.0;18.0
5;122;158.0;182.0;255;2;24.0;24.0
15;125;160.0;179.0;262;26;18.0;19.0
14;140;160.0;170.0;294;12;9.0;10.0
3;125;160.0;180.0;264;12;20.0;20.0
13;126;161.0;172.0;265;27;11.0;11.0
6;126;161.2071582193002;189.2071582193002;266;8;28.0;28.0
1;126;164.0;193.0;268;26;28.0;29.0
