server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;2;2.0;22.0;0;21;19.0;20.0
3;2;2.0;29.0;1;29;24.0;27.0
5;4;4.0;8.0;4;13;3.0;4.0
6;4;4.0;13.0;2;0;9.0;9.0
7;4;4.0;9.0;3;3;3.0;5.0
8;5;5.0;29.0;5;15;26.0;24.0
9;7;7.0;13.0;6;2;6.0;6.0
10;7;7.0;29.0;7;4;22.0;22.0
11;8;8.0;15.0;8;22;6.0;7.0
12;8;8.0;9.0;9;0;2.0;1.0
15;8;8.0;9.0;10;9;1.0;1.0
13;10;10.0;27.0;13;24;18.0;17.0
16;10;10.0;15.0;12;28;3.0;5.0
17;10;10.0;37.0;11;2;27.0;27.0
18;10;10.0;38.0;14;3;28.0;28.0
19;12;12.0;14.0;17;19;4.0;2.0
12;12;12.0;29.0;18;29;18.0;17.0
15;12;12.0;15.0;15;9;1.0;3.0
5;12;12.0;13.0;16;23;3.0;1.0
7;12;12.0;16.0;19;12;5.0;4.0
5;12;13.0;15.0;20;23;3.0;2.0
19;14;14.0;26.0;23;27;15.0;12.0
9;14;14.0;23.0;25;19;10.0;9.0
6;14;14.0;18.0;22;17;2.0;4.0
15;14;15.0;30.0;24;0;16.0;15.0
16;14;15.0;16.0;21;17;2.0;1.0
11;14;15.0;47.0;26;17;28.0;32.0
5;14;15.0;22.0;27;19;8.0;7.0
16;16;16.0;20.0;30;28;3.0;4.0
7;16;16.0;38.0;28;8;22.0;22.0
0;16;16.571035975144827;21.571035975144827;29;27;3.0;5.0
6;16;18.0;32.0;31;29;12.0;14.0
16;19;20.0;32.0;33;9;11.0;12.0
2;20;20.533947486706985;21.533947486706985;35;10;1.0;1.0
14;16;20.74656159583789;23.74656159583789;32;18;3.0;3.0
2;21;21.533947486706985;37.533947486706985;37;7;18.0;16.0
0;20;21.571035975144827;45.571035975144824;34;1;25.0;23.999999999999996
5;21;22.0;46.0;36;4;25.0;24.0
14;24;24.0;50.0;39;15;27.0;26.0
9;24;24.0;48.0;38;21;26.0;24.0
4;26;26.0;45.0;40;9;18.0;19.0
19;26;26.0;48.0;41;20;23.0;22.0
13;27;27.0;32.0;42;17;5.0;5.0
1;27;27.0;33.0;43;14;6.0;6.0
12;28;29.0;44.0;44;8;14.0;15.0
15;32;32.0;56.0;45;12;24.0;24.0
10;35;35.0;37.0;46;19;2.0;2.0
13;35;35.0;51.0;47;12;16.0;16.0
16;37;37.0;40.0;48;24;1.0;3.0
8;37;37.0;44.0;49;21;7.0;7.0
2;38;38.0;60.0;50;24;20.0;22.0
10;38;38.0;65.0;51;0;25.0;27.0
1;39;39.0;54.0;52;11;16.0;15.0
17;39;39.0;68.0;53;25;29.0;29.0
6;39;39.0;62.0;54;12;22.0;23.0
18;39;39.0;65.0;55;21;26.0;26.0
16;43;43.0;56.0;60;23;13.0;13.0
7;43;43.0;58.0;65;11;13.0;15.0
3;43;43.68033243162676;69.68033243162677;56;27;24.0;26.000000000000007
8;44;44.0;55.0;66;3;13.0;11.0
12;44;44.0;47.0;67;21;3.0;3.0
4;45;45.0;53.0;73;2;7.0;8.0
0;45;45.571035975144824;46.571035975144824;70;13;2.0;1.0
5;43;46.0;48.0;57;25;2.0;2.0
0;43;46.571035975144824;50.571035975144824;58;24;7.0;4.0
12;43;47.0;62.0;59;13;15.0;15.0
11;43;47.0;75.0;61;17;28.0;28.0
19;43;48.0;61.0;62;9;15.0;13.0
9;43;48.0;65.0;63;11;17.0;17.0
5;43;48.0;50.0;64;20;1.0;2.0
14;45;50.0;55.0;68;27;6.0;5.0
5;45;50.0;66.0;69;17;15.0;16.0
0;45;50.571035975144824;74.57103597514482;71;25;25.0;24.0
13;45;51.0;66.0;72;29;14.0;15.0
4;45;53.0;69.0;74;12;15.0;16.0
14;45;55.0;61.0;75;13;5.0;6.0
8;46;55.0;66.0;76;26;10.0;11.0
16;46;56.0;71.0;77;21;14.0;15.0
15;48;56.0;57.0;78;2;3.0;1.0
15;57;57.0;85.0;85;25;27.0;28.0
7;48;58.0;86.0;79;21;28.0;28.0
2;48;60.0;75.0;80;7;18.0;15.0
1;50;60.109773229548466;80.10977322954847;82;21;19.0;20.0
14;54;61.0;81.0;83;10;20.0;20.0
19;54;61.0;76.0;84;29;20.0;15.0
6;57;62.0;67.0;86;26;7.0;5.0
12;60;62.0;76.0;87;8;14.0;14.0
10;64;65.0;74.0;93;16;9.0;9.0
18;62;65.0;94.0;88;3;28.0;29.0
9;62;65.0;72.0;89;2;6.0;7.0
8;66;66.0;84.0;101;9;21.0;18.0
13;66;66.0;82.0;102;2;16.0;16.0
5;66;66.0;93.0;98;26;26.0;27.0
6;66;67.0;81.0;97;15;16.0;14.0
17;68;68.0;95.0;105;2;27.0;27.0
4;62;69.0;84.0;90;12;15.0;15.0
3;63;69.68033243162677;70.68033243162677;91;12;1.0;1.0
3;70;70.68033243162677;95.68033243162677;107;27;24.0;25.0
16;63;71.0;94.0;92;13;23.0;23.0
9;64;72.0;88.0;94;11;17.0;16.0
10;74;74.0;87.0;112;27;14.0;13.0
0;74;74.57103597514482;94.57103597514482;114;17;21.0;20.0
2;74;75.0;101.0;113;8;24.0;26.0
11;65;75.0;92.0;96;19;17.0;17.0
19;66;76.0;90.0;99;15;11.0;14.0
12;66;76.0;80.0;100;21;3.0;4.0
12;77;80.0;98.0;117;14;18.0;18.0
1;68;80.10977322954847;92.10977322954847;106;10;12.0;12.0
14;81;81.0;88.0;124;0;8.0;7.0
6;73;81.0;103.0;108;10;23.0;22.0
13;74;82.0;100.0;109;2;16.0;18.0
4;74;84.0;95.0;110;23;10.0;11.0
8;74;84.0;96.0;111;1;13.0;12.0
15;74;85.0;100.0;115;11;18.0;15.0
7;74;86.0;91.0;116;0;5.0;5.0
10;78;87.0;95.0;118;1;10.0;8.0
14;88;88.0;105.0;132;21;17.0;17.0
9;78;88.0;114.0;119;25;24.0;26.0
19;90;90.0;104.0;134;17;16.0;14.0
7;90;91.0;102.0;136;28;10.0;11.0
11;92;92.0;96.0;143;29;3.0;4.0
1;92;92.10977322954847;117.10977322954847;142;28;26.0;25.0
5;78;93.0;117.0;120;27;22.0;24.0
16;81;94.0;121.0;121;25;29.0;27.0
18;81;94.0;109.0;122;2;16.0;15.0
4;95;95.0;122.0;144;1;27.0;27.0
10;81;95.0;105.0;123;16;9.0;10.0
17;84;95.0;101.0;125;6;9.0;6.0
3;85;95.68033243162677;106.68033243162677;127;17;11.0;11.0
8;85;96.0;117.0;128;10;20.0;21.0
11;85;96.0;103.0;129;23;7.0;7.0
12;85;98.0;120.0;130;4;21.0;22.0
13;85;100.0;112.0;131;18;12.0;12.0
15;88;100.0;123.0;133;12;24.0;23.0
2;101;101.0;113.0;149;0;12.0;12.0
17;90;101.0;124.0;135;8;22.0;23.0
7;102;102.0;111.0;152;26;13.0;9.0
6;103;103.0;116.0;157;15;16.0;13.0
11;103;103.0;107.0;161;14;4.0;4.0
19;103;104.0;127.0;155;20;23.0;23.0
14;103;105.0;110.0;166;27;6.0;5.0
10;102;105.0;124.0;153;5;19.0;19.0
3;90;106.68033243162677;121.68033243162677;137;9;13.0;15.0
11;91;107.0;121.0;138;7;13.0;14.0
18;92;109.0;137.0;139;3;28.0;28.0
0;101;109.27963536694676;113.27963536694676;145;6;5.0;4.0
14;101;110.0;139.0;146;20;28.0;29.0
7;101;111.0;117.0;147;13;6.0;6.0
13;101;112.0;125.0;148;18;12.0;13.0
0;101;113.27963536694676;139.27963536694676;150;1;25.0;26.0
9;108;114.0;115.0;178;16;1.0;1.0
9;101;115.0;120.0;151;2;6.0;5.0
6;112;116.0;120.0;180;9;4.0;4.0
8;112;117.0;128.0;182;7;9.0;11.0
7;102;117.0;145.0;154;4;29.0;28.0
5;113;117.0;119.0;185;18;3.0;2.0
1;103;117.10977322954847;131.10977322954847;156;27;13.0;14.0
5;103;119.0;146.0;159;16;29.0;27.0
6;117;120.0;139.0;190;8;19.0;19.0
12;103;120.0;131.0;160;16;11.0;11.0
9;103;120.0;127.0;162;4;7.0;7.0
16;118;121.0;124.0;193;18;5.0;3.0
11;118;121.0;123.0;194;11;1.0;2.0
3;120;121.68033243162677;132.68033243162677;195;19;6.0;11.0
4;103;122.0;142.0;163;10;21.0;20.0
15;103;123.0;143.0;164;14;16.0;20.0
11;103;123.0;138.0;165;12;16.0;15.0
16;103;124.0;149.0;167;3;25.0;25.0
10;103;124.0;148.0;168;26;23.0;24.0
17;103;124.0;147.0;169;29;23.0;23.0
13;120;125.0;134.0;205;20;9.0;9.0
2;122;126.05098102217023;130.05098102217022;206;28;4.0;3.999999999999986
9;122;127.0;135.0;207;15;8.0;8.0
8;124;128.0;143.0;211;1;13.0;15.0
2;124;130.05098102217022;155.05098102217022;213;1;24.0;25.0
12;125;131.0;146.0;214;22;15.0;15.0
1;103;131.10977322954847;146.10977322954847;170;8;16.0;15.0
3;128;132.68033243162677;155.68033243162677;217;14;22.0;23.0
13;107;134.0;163.0;173;26;29.0;29.0
9;107;135.0;151.0;175;11;17.0;16.0
18;107;137.0;155.0;176;8;17.0;18.0
11;112;138.0;160.0;181;2;21.0;22.0
14;135;139.0;155.0;228;26;17.0;16.0
6;113;139.0;157.0;184;20;19.0;18.0
0;114;139.27963536694676;144.27963536694676;188;7;5.0;5.0
4;136;142.0;166.0;232;16;25.0;24.0
8;118;143.0;158.0;191;22;14.0;15.0
15;118;143.0;144.0;192;28;1.0;1.0
15;120;144.0;145.0;196;9;1.0;1.0
0;143;144.27963536694676;146.27963536694676;238;7;5.0;2.0
15;120;145.0;159.0;199;24;10.0;14.0
7;120;145.0;173.0;201;4;29.0;28.0
12;120;146.0;173.0;204;19;26.0;27.0
5;122;146.0;171.0;210;7;24.0;25.0
1;146;146.10977322954847;154.10977322954847;245;26;10.0;8.0
0;125;146.27963536694676;166.27963536694676;216;21;21.0;20.0
17;147;147.0;172.0;247;27;24.0;25.0
10;129;148.0;164.0;220;15;16.0;16.0
9;147;151.0;162.0;251;15;8.0;11.0
1;151;154.10977322954847;174.10977322954847;254;1;23.0;20.0
14;129;155.0;172.0;221;16;19.0;17.0
18;151;155.0;170.0;258;2;16.0;15.0
2;131;155.05098102217022;170.05098102217022;222;21;15.0;15.0
3;151;155.68033243162677;158.68033243162677;260;22;2.0;3.0
6;132;157.0;172.0;223;3;16.0;15.0
8;132;158.0;183.0;225;15;26.0;25.0
