server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
3;0;0.0;2.0;0;4;1.0;2.0
4;1;1.0;9.0;1;7;6.0;8.0
5;2;2.0;25.0;4;16;22.0;23.0
7;2;2.0;18.0;2;17;16.0;16.0
9;2;2.0;29.0;3;27;28.0;27.0
11;5;5.0;23.0;5;22;18.0;18.0
12;5;5.0;15.0;6;23;10.0;10.0
2;7;7.0;34.0;7;2;28.0;27.0
13;7;7.0;8.0;8;10;2.0;1.0
15;7;7.0;30.0;9;21;21.0;23.0
16;7;7.0;16.0;10;21;6.0;9.0
1;9;9.0;15.0;11;2;7.0;6.0
17;9;9.0;11.0;12;14;2.0;2.0
18;10;10.0;37.0;13;1;28.0;27.0
19;10;10.0;30.0;14;25;24.0;20.0
13;11;11.0;17.0;17;2;3.0;6.0
17;11;11.0;15.0;15;6;4.0;4.0
3;11;11.0;17.0;16;13;6.0;6.0
4;12;12.0;27.0;18;2;14.0;15.0
14;13;13.88478374755182;14.88478374755182;20;8;4.0;1.0
14;14;14.88478374755182;39.88478374755182;26;16;28.0;25.0
1;14;15.0;31.0;24;9;15.0;16.0
17;13;15.0;34.0;21;12;19.0;19.0
12;13;15.0;41.0;22;25;26.0;26.0
16;16;16.0;34.0;35;0;20.0;18.0
13;14;17.0;44.0;23;25;26.0;27.0
3;14;17.0;24.0;25;23;3.0;7.0
8;14;17.302682468523574;34.30268246852357;27;16;19.0;16.999999999999996
7;15;18.0;37.0;28;19;19.0;19.0
0;15;18.89625768683157;38.896257686831575;29;10;19.0;20.000000000000004
6;15;19.630493124226458;26.630493124226458;30;29;9.0;7.0
11;22;23.0;41.0;51;8;18.0;18.0
3;22;24.0;34.0;52;7;11.0;10.0
10;15;24.610078432195287;53.61007843219529;31;5;26.0;29.0
5;16;25.0;50.0;32;19;26.0;25.0
6;16;26.630493124226458;39.63049312422646;34;25;12.0;13.000000000000004
4;24;27.0;37.0;58;23;9.0;10.0
19;24;30.0;58.0;59;10;27.0;28.0
15;16;30.0;41.0;36;17;13.0;11.0
17;16;34.0;53.0;37;1;20.0;19.0
3;26;34.0;62.0;63;17;28.0;28.0
16;16;34.0;62.0;38;17;29.0;28.0
2;26;34.0;56.0;65;20;21.0;22.0
8;16;34.30268246852357;47.30268246852357;40;3;14.0;13.0
4;26;37.0;39.0;67;22;1.0;2.0
7;26;37.0;52.0;68;11;15.0;15.0
4;17;39.0;55.0;42;19;16.0;16.0
6;17;39.63049312422646;54.63049312422646;43;20;19.0;15.0
14;19;39.88478374755182;41.88478374755182;46;18;2.0;2.0
15;19;41.0;47.0;47;27;7.0;6.0
11;19;41.0;45.0;48;1;2.0;4.0
12;22;41.0;57.0;49;10;16.0;16.0
14;22;41.88478374755182;72.88478374755182;50;22;29.0;31.0
9;22;43.633355968602615;53.633355968602615;53;24;10.0;10.0
13;36;44.0;68.0;80;3;24.0;24.0
18;22;44.92469254215878;66.92469254215878;54;25;22.0;22.0
11;24;45.0;63.0;55;22;18.0;18.0
1;24;46.83540197072114;65.83540197072114;56;29;18.0;18.999999999999993
8;26;47.30268246852357;57.30268246852357;60;10;8.0;10.0
5;40;50.0;62.0;86;26;10.0;12.0
7;42;52.0;59.0;89;13;6.0;7.0
17;26;53.0;76.0;61;17;26.0;23.0
10;42;53.61007843219529;66.61007843219528;93;16;12.0;12.999999999999993
