server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;2;2.0;9.0;0;18;6.0;7.0
1;2;2.0;7.0;1;26;6.0;5.0
2;2;2.0;3.0;2;27;1.0;1.0
4;2;2.0;30.0;3;26;29.0;28.0
5;2;2.0;31.0;4;1;29.0;29.0
6;2;2.0;5.0;5;5;2.0;3.0
8;2;2.0;17.0;6;10;16.0;15.0
10;4;4.0;29.0;7;14;27.0;25.0
11;4;4.0;18.0;8;10;14.0;14.0
12;5;5.0;27.0;9;3;19.0;22.0
15;5;5.0;26.0;12;18;22.0;21.0
16;5;5.0;29.0;10;22;23.0;24.0
17;5;5.0;22.0;11;25;16.0;17.0
19;5;5.0;22.0;13;22;17.0;17.0
3;6;6.0;28.0;14;15;26.0;22.0
13;7;7.0;29.0;20;2;21.0;22.0
14;7;7.0;15.0;19;26;9.0;8.0
2;7;7.0;24.0;15;26;17.0;17.0
6;7;7.0;16.0;16;2;9.0;9.0
1;7;7.0;20.0;17;3;12.0;13.0
18;8;8.372913457514603;22.372913457514603;21;7;18.0;14.0
0;8;9.0;26.0;24;23;17.0;17.0
7;8;14.71758649336949;15.71758649336949;27;18;2.0;1.0
14;15;15.0;37.0;41;16;24.0;22.0
7;11;15.71758649336949;30.717586493369488;36;7;15.0;14.999999999999998
6;11;16.0;38.0;33;3;20.0;22.0
9;14;16.91508418373751;37.915084183737505;40;9;21.0;20.999999999999996
8;8;17.0;37.0;22;2;20.0;20.0
11;8;18.0;19.0;23;24;1.0;1.0
11;8;19.0;29.0;25;4;9.0;10.0
1;8;20.0;21.0;26;25;2.0;1.0
1;10;21.0;23.0;28;21;2.0;2.0
17;22;22.0;39.0;47;11;18.0;17.0
19;22;22.0;28.0;51;1;4.0;6.0
1;22;23.0;26.0;48;23;4.0;3.0
2;10;24.0;51.0;29;18;29.0;27.0
15;10;26.0;35.0;31;22;8.0;9.0
0;25;26.0;34.0;60;24;10.0;8.0
1;10;26.0;42.0;32;7;14.0;16.0
12;11;27.0;42.0;34;18;14.0;15.0
3;11;28.0;45.0;35;28;18.0;17.0
19;11;28.0;39.0;37;0;12.0;11.0
13;13;29.0;41.0;38;10;12.0;12.0
16;13;29.0;54.0;39;10;25.0;25.0
10;29;29.0;53.0;68;26;25.0;24.0
11;17;29.0;34.0;43;28;3.0;5.0
4;30;30.0;51.0;70;4;22.0;21.0
7;17;30.717586493369488;41.71758649336949;44;26;12.0;11.0
5;17;31.0;33.0;45;26;2.0;2.0
5;32;33.0;34.0;73;25;1.0;1.0
11;34;34.0;41.0;76;4;9.0;7.0
0;19;34.0;59.0;46;12;25.0;25.0
5;22;34.0;44.0;49;6;9.0;10.0
15;22;35.0;38.0;50;12;4.0;3.0
18;22;36.408813086966305;62.408813086966305;52;16;27.0;26.0
14;37;37.0;51.0;77;21;14.0;14.0
8;22;37.0;65.0;54;13;26.0;28.0
15;22;38.0;46.0;55;24;9.0;8.0
6;24;38.0;39.0;57;21;4.0;1.0
17;24;39.0;40.0;58;15;3.0;1.0
19;27;39.0;41.0;62;8;2.0;2.0
6;27;39.0;55.0;63;14;15.0;16.0
17;27;40.0;54.0;64;4;16.0;14.0
13;27;41.0;70.0;65;18;29.0;29.0
19;28;41.0;61.0;67;3;22.0;20.0
11;29;41.0;66.0;69;0;25.0;25.0
7;30;41.71758649336949;66.71758649336948;71;11;24.0;24.999999999999993
12;32;42.0;51.0;72;16;8.0;9.0
1;33;42.0;68.0;74;8;24.0;26.0
5;44;44.0;70.0;85;5;25.0;26.0
3;44;45.0;63.0;86;25;18.0;18.0
15;33;46.0;52.0;75;12;4.0;6.0
9;48;48.124657282767764;66.12465728276777;102;14;20.0;18.000000000000007
14;48;51.0;76.0;98;11;24.0;25.0
2;51;51.0;80.0;104;14;29.0;29.0
12;39;51.0;64.0;78;11;13.0;13.0
4;51;51.0;73.0;106;24;25.0;22.0
15;51;52.0;76.0;107;13;22.0;24.0
10;51;53.0;78.0;108;26;25.0;25.0
16;39;54.0;63.0;79;8;13.0;9.0
17;42;54.0;78.0;81;8;24.0;24.0
6;55;55.0;82.0;109;24;28.0;27.0
0;56;59.0;65.0;113;18;6.0;6.0
19;43;61.0;66.0;83;5;5.0;5.0
18;58;62.408813086966305;90.4088130869663;117;3;26.0;28.0
3;59;63.0;72.0;118;10;10.0;9.0
16;59;63.0;77.0;119;8;13.0;14.0
12;43;64.0;85.0;84;13;20.0;21.0
0;44;65.0;89.0;87;1;25.0;24.0
8;59;65.0;78.0;122;1;13.0;13.0
19;44;66.0;69.0;88;1;4.0;3.0
11;44;66.0;94.0;89;23;28.0;28.0
9;44;66.12465728276777;92.12465728276777;90;21;24.0;26.0
7;44;66.71758649336948;96.71758649336948;91;1;29.0;30.0
1;44;68.0;94.0;93;8;24.0;26.0
19;44;69.0;76.0;94;14;8.0;7.0
13;44;70.0;88.0;95;4;20.0;18.0
5;46;70.0;79.0;96;7;8.0;9.0
3;71;72.0;87.0;130;2;15.0;15.0
4;71;73.0;77.0;135;1;4.0;4.0
14;72;76.0;92.0;138;6;16.0;16.0
19;48;76.0;88.0;99;0;12.0;12.0
15;48;76.0;90.0;100;21;14.0;14.0
16;48;77.0;99.0;101;12;20.0;22.0
4;48;77.0;86.0;103;12;9.0;9.0
17;77;78.0;107.0;143;16;27.0;29.0
10;55;78.0;96.0;111;8;17.0;18.0
8;55;78.0;94.0;112;11;16.0;16.0
5;56;79.0;96.0;114;3;16.0;17.0
6;59;82.0;104.0;120;12;23.0;22.0
12;80;85.0;110.0;150;21;23.0;25.0
3;59;87.0;113.0;121;11;26.0;26.0
19;82;88.0;113.0;152;10;26.0;25.0
0;59;89.0;104.0;124;25;16.0;15.0
15;62;90.0;112.0;126;13;22.0;22.0
18;65;90.4088130869663;116.4088130869663;127;3;26.0;26.0
14;83;92.0;105.0;158;19;14.0;13.0
9;84;92.12465728276777;122.12465728276777;159;1;29.0;30.0
2;85;93.75713933304436;104.75713933304436;160;21;8.0;11.0
11;85;94.0;98.0;162;11;3.0;4.0
8;66;94.0;119.0;128;21;27.0;25.0
1;71;94.0;105.0;131;3;12.0;11.0
10;85;96.0;113.0;165;18;19.0;17.0
5;86;96.0;122.0;166;28;26.0;26.0
7;86;96.71758649336948;113.71758649336948;167;29;17.0;17.0
11;86;98.0;103.0;170;18;7.0;5.0
16;87;99.0;102.0;171;7;2.0;3.0
4;89;100.69183955313324;115.69183955313324;172;27;16.0;15.0
16;91;102.0;117.0;175;20;13.0;15.0
11;91;103.0;124.0;176;8;20.0;21.0
6;71;104.0;124.0;132;27;20.0;20.0
0;71;104.0;120.0;133;15;15.0;16.0
2;71;104.75713933304436;105.75713933304436;136;20;1.0;1.0
14;72;105.0;132.0;139;18;28.0;27.0
13;95;105.43554784441902;115.43554784441902;186;28;5.0;10.0
2;73;105.75713933304436;106.75713933304436;142;20;1.0;1.0
2;97;106.75713933304436;107.75713933304436;190;27;1.0;1.0
17;77;107.0;116.0;144;9;10.0;9.0
2;77;107.75713933304436;124.75713933304436;146;26;17.0;17.0
12;77;110.0;131.0;148;14;24.0;21.0
15;82;112.0;117.0;151;17;2.0;5.0
1;106;112.73685531806937;117.73685531806937;199;20;4.0;5.0
3;82;113.0;137.0;153;19;22.0;24.0
19;107;113.0;117.0;201;5;5.0;4.0
10;82;113.0;115.0;155;29;5.0;2.0
7;83;113.71758649336948;117.71758649336948;156;3;3.0;4.0
10;107;115.0;120.0;204;2;7.0;5.0
13;107;115.43554784441902;127.43554784441902;205;10;12.0;12.0
4;85;115.69183955313324;123.69183955313324;164;12;9.0;8.0
17;90;116.0;147.0;173;12;29.0;31.0
18;90;116.4088130869663;128.4088130869663;174;0;11.0;11.999999999999986
16;91;117.0;135.0;178;12;20.0;18.0
19;91;117.0;122.0;179;5;5.0;5.0
15;91;117.0;123.0;180;3;4.0;6.0
7;117;117.71758649336948;128.71758649336948;216;17;14.0;11.0
1;92;117.73685531806937;126.73685531806937;181;22;9.0;9.0
8;118;119.0;138.0;218;25;21.0;19.0
10;93;120.0;138.0;184;15;17.0;18.0
0;97;120.0;137.0;187;22;18.0;17.0
19;97;122.0;131.0;188;14;8.0;9.0
5;97;122.0;149.0;191;0;26.0;27.0
9;122;122.12465728276777;123.12465728276777;225;16;4.0;1.0
15;122;123.0;128.0;226;10;6.0;5.0
9;98;123.12465728276777;138.12465728276777;193;0;14.0;15.0
4;99;123.69183955313324;132.69183955313324;194;25;6.0;9.0
11;103;124.0;127.0;196;1;3.0;3.0
6;103;124.0;129.0;197;26;3.0;5.0
2;105;124.75713933304436;150.75713933304436;198;13;27.0;26.0
1;125;126.73685531806937;149.7368553180694;234;15;21.0;23.000000000000014
11;125;127.0;153.0;235;23;28.0;26.0
13;107;127.43554784441902;154.43554784441903;202;17;27.0;27.000000000000014
15;107;128.0;134.0;203;10;6.0;6.0
18;107;128.4088130869663;138.4088130869663;206;22;8.0;10.0
7;116;128.71758649336948;145.71758649336948;210;25;17.0;17.0
6;116;129.0;133.0;211;1;3.0;4.0
19;127;131.0;157.0;241;15;26.0;26.0
12;116;131.0;156.0;213;21;23.0;25.0
14;117;132.0;149.0;214;4;18.0;17.0
4;128;132.69183955313324;135.69183955313324;246;2;4.0;3.0
6;118;133.0;143.0;217;4;11.0;10.0
15;118;134.0;143.0;221;29;13.0;9.0
16;120;135.0;152.0;222;26;19.0;17.0
4;120;135.69183955313324;139.69183955313324;223;25;6.0;4.0
0;129;137.0;151.0;253;20;16.0;14.0
10;134;138.0;154.0;254;8;17.0;16.0
9;122;138.12465728276777;155.12465728276777;224;14;20.0;17.0
18;124;138.4088130869663;162.4088130869663;227;3;26.0;24.0
4;125;139.69183955313324;148.69183955313324;230;3;10.0;9.0
15;125;143.0;146.0;231;17;2.0;3.0
6;125;143.0;164.0;232;3;20.0;21.0
7;140;145.71758649336948;157.71758649336948;263;22;10.0;12.0
15;143;146.0;166.0;265;19;19.0;20.0
17;125;147.0;164.0;233;25;16.0;17.0
4;143;148.69183955313324;156.69183955313324;267;10;9.0;8.0
14;125;149.0;175.0;236;5;23.0;26.0
5;127;149.0;170.0;237;11;22.0;21.0
1;127;149.7368553180694;177.7368553180694;242;6;28.0;28.0
2;128;150.75713933304436;180.75713933304436;245;18;29.0;30.0
0;148;151.0;156.0;273;9;6.0;5.0
16;148;152.0;156.0;274;11;4.0;4.0
3;150;152.12490899912336;157.12490899912336;276;0;6.0;5.0
11;128;153.0;155.0;247;1;3.0;2.0
10;151;154.0;158.0;280;2;7.0;4.0
13;129;154.43554784441903;166.43554784441903;250;10;12.0;12.0
11;151;155.0;163.0;282;5;7.0;8.0
9;151;155.12465728276777;173.12465728276777;283;14;20.0;18.0
16;129;156.0;168.0;251;8;13.0;12.0
12;134;156.0;166.0;255;17;12.0;10.0
0;151;156.0;157.0;286;28;3.0;1.0
4;135;156.69183955313324;174.69183955313324;257;0;19.0;18.0
19;135;157.0;158.0;258;18;1.0;1.0
0;155;157.0;174.0;289;22;18.0;17.0
3;136;157.12490899912336;182.12490899912336;260;29;28.0;25.0
7;156;157.71758649336948;179.71758649336948;292;14;26.0;22.0
19;136;158.0;159.0;261;18;1.0;1.0
10;140;158.0;177.0;264;6;20.0;19.0
19;143;159.0;181.0;266;25;22.0;22.0
18;144;162.4088130869663;172.4088130869663;268;0;11.0;10.0
11;146;163.0;190.0;270;26;25.0;27.0
17;146;164.0;178.0;271;26;13.0;14.0
6;146;164.0;167.0;272;5;2.0;3.0
12;150;166.0;180.0;275;26;15.0;14.0
15;150;166.0;185.0;277;16;19.0;19.0
13;151;166.43554784441903;167.43554784441903;279;3;1.0;1.0
6;151;167.0;173.0;284;21;4.0;6.0
13;154;167.43554784441903;191.43554784441903;287;21;22.0;24.0
16;154;168.0;191.0;288;17;24.0;23.0
5;156;170.0;178.0;290;7;8.0;8.0
18;166;172.4088130869663;181.4088130869663;315;14;9.0;9.0
6;156;173.0;195.0;291;27;20.0;22.0
9;156;173.12465728276777;182.12465728276777;293;4;10.0;9.0
0;158;174.0;178.0;295;19;3.0;4.0
4;171;174.69183955313324;201.69183955313324;322;17;28.0;27.0
14;171;175.0;188.0;323;22;12.0;13.0
10;174;177.0;196.0;326;22;20.0;19.0
1;171;177.7368553180694;194.7368553180694;325;12;16.0;17.0
17;178;178.0;195.0;330;11;18.0;17.0
0;178;178.0;199.0;329;2;21.0;21.0
5;178;178.0;199.0;334;12;22.0;21.0
7;178;179.71758649336948;203.71758649336948;335;14;26.0;24.0
12;161;180.0;197.0;300;20;18.0;17.0
2;161;180.75713933304436;188.75713933304436;301;21;8.0;8.0
19;179;181.0;189.0;339;14;8.0;8.0
18;162;181.4088130869663;202.4088130869663;302;13;22.0;21.0
9;164;182.12465728276777;215.12465728276777;303;1;29.0;33.0
3;164;182.12490899912336;197.12490899912336;304;3;14.0;15.0
8;182;184.4431990835885;209.4431990835885;345;24;26.0;25.0
15;182;185.0;196.0;347;21;14.0;11.0
14;166;188.0;189.0;308;15;3.0;1.0
2;183;188.75713933304436;217.75713933304436;350;14;29.0;29.0
14;187;189.0;205.0;352;8;17.0;16.0
19;166;189.0;194.0;311;5;5.0;5.0
11;166;190.0;219.0;312;17;28.0;29.0
16;189;191.0;192.0;355;5;2.0;1.0
13;166;191.43554784441903;201.43554784441903;313;19;10.0;10.0
16;166;192.0;216.0;317;10;25.0;24.0
19;169;194.0;197.0;319;5;5.0;3.0
1;169;194.7368553180694;206.7368553180694;320;3;12.0;12.0
17;170;195.0;196.0;321;14;3.0;1.0
6;171;195.0;213.0;324;20;20.0;18.0
17;174;196.0;223.0;327;0;27.0;27.0
15;178;196.0;218.0;331;14;21.0;22.0
10;191;196.0;197.0;364;25;1.0;1.0
19;178;197.0;222.0;333;26;24.0;25.0
12;179;197.0;220.0;336;21;23.0;23.0
