server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;0;0.0;18.0;0;15;14.0;18.0
3;0;0.0;26.0;1;11;27.0;26.0
4;0;0.0;6.0;2;12;6.0;6.0
5;1;1.0;11.0;3;15;10.0;10.0
7;5;5.0;20.0;4;29;16.0;15.0
9;5;5.0;7.0;5;0;1.0;2.0
11;5;5.0;25.0;6;4;19.0;20.0
17;6;6.0;21.0;7;0;16.0;15.0
10;7;7.0;35.0;8;24;27.0;28.0
18;8;8.0;11.0;9;28;4.0;3.0
9;8;8.0;11.0;10;26;1.0;3.0
4;8;8.0;18.0;11;3;11.0;10.0
6;8;9.554391874069399;11.554391874069399;12;4;1.0;2.0
15;8;9.937783242154815;24.937783242154815;13;24;15.0;15.0
18;9;11.0;37.0;14;26;24.0;26.0
9;10;11.0;21.0;15;1;10.0;10.0
5;10;11.0;14.0;16;25;3.0;3.0
6;11;11.554391874069399;20.5543918740694;17;29;7.0;9.0
13;13;13.796949524848655;25.796949524848657;26;15;13.0;12.000000000000002
5;13;14.0;25.0;24;29;11.0;11.0
12;13;14.002480168169383;38.002480168169384;25;26;23.0;24.0
16;11;14.545962011487395;33.5459620114874;18;21;20.0;19.0
8;15;15.275002649281433;42.27500264928143;31;15;29.0;27.0
1;15;15.780652930434623;44.78065293043463;27;3;24.0;29.000000000000004
14;12;17.705429378667322;38.70542937866732;19;14;20.0;20.999999999999996
2;12;17.83814570273791;26.83814570273791;20;9;7.0;9.0
4;12;18.0;32.0;21;1;14.0;14.0
0;13;18.0;34.0;22;9;15.0;16.0
7;19;20.0;21.0;37;10;1.0;1.0
6;13;20.5543918740694;36.554391874069395;23;22;14.0;15.999999999999996
9;15;21.0;23.0;28;26;1.0;2.0
17;15;21.0;36.0;29;4;14.0;15.0
7;15;21.0;42.0;30;11;21.0;21.0
19;17;21.71411275619664;49.71411275619664;33;5;28.0;28.0
9;23;23.0;52.0;42;20;28.0;29.0
11;17;25.0;49.0;34;2;26.0;24.0
5;18;25.0;53.0;35;28;27.0;28.0
13;19;25.796949524848657;28.796949524848657;36;29;2.0;3.0
3;26;26.0;52.0;45;29;26.0;26.0
2;26;26.83814570273791;54.83814570273791;44;5;27.0;28.0
13;19;28.796949524848657;32.79694952484866;38;13;3.0;4.0
4;21;32.0;39.0;39;7;9.0;7.0
13;22;32.79694952484866;34.79694952484866;41;29;2.0;2.0
16;26;33.5459620114874;46.5459620114874;43;12;14.0;13.0
0;29;34.0;59.0;46;18;24.0;25.0
13;29;34.79694952484866;40.79694952484866;47;4;8.0;6.0
10;35;35.0;62.0;58;20;28.0;27.0
17;31;36.0;56.0;48;28;25.0;20.0
6;31;36.554391874069395;63.554391874069395;49;7;28.0;27.0
18;31;37.0;51.0;50;11;13.0;14.0
12;33;38.002480168169384;60.002480168169384;51;15;21.0;22.0
14;33;38.70542937866732;62.70542937866732;52;4;20.0;24.0
4;39;39.0;43.0;65;12;6.0;4.0
13;40;40.79694952484866;42.79694952484866;69;17;1.0;2.0
7;41;42.0;58.0;71;13;16.0;16.0
8;39;42.27500264928143;58.27500264928143;66;16;16.0;16.0
13;39;42.79694952484866;59.79694952484866;62;3;16.0;17.0
4;34;43.0;49.0;53;10;5.0;6.0
1;44;44.78065293043463;69.78065293043463;73;3;24.0;25.0
16;46;46.5459620114874;48.5459620114874;74;7;1.0;2.0
16;34;48.5459620114874;65.5459620114874;56;22;16.0;17.000000000000007
11;35;49.0;75.0;57;9;25.0;26.0
4;39;49.0;70.0;60;25;22.0;21.0
19;39;49.71411275619664;68.71411275619664;61;10;19.0;19.0
18;39;51.0;59.0;63;9;9.0;8.0
9;52;52.0;59.0;83;11;7.0;7.0
3;52;52.0;76.0;85;27;24.0;24.0
5;39;53.0;58.0;64;23;5.0;5.0
2;40;54.83814570273791;78.8381457027379;67;29;24.0;23.999999999999993
17;56;56.0;84.0;92;15;28.0;28.0
7;56;58.0;74.0;91;8;15.0;16.0
5;44;58.0;60.0;72;25;3.0;2.0
8;46;58.27500264928143;85.27500264928143;75;15;29.0;27.0
18;59;59.0;83.0;97;26;24.0;24.0
9;59;59.0;60.0;98;0;1.0;1.0
0;47;59.0;76.0;76;15;14.0;17.0
13;47;59.79694952484866;69.79694952484866;77;12;7.0;10.0
9;60;60.0;79.0;101;7;19.0;19.0
5;60;60.0;88.0;103;20;29.0;28.0
12;47;60.002480168169384;77.00248016816938;78;24;18.0;17.0
10;47;62.0;64.0;79;18;2.0;2.0
14;49;62.70542937866732;83.70542937866732;81;12;19.0;21.0
6;63;63.554391874069395;75.5543918740694;110;18;11.0;12.0
10;63;64.0;87.0;111;8;22.0;23.0
16;63;65.5459620114874;78.5459620114874;112;22;16.0;13.0
19;52;68.71411275619664;88.71411275619664;84;10;19.0;20.0
1;54;69.78065293043463;83.78065293043463;86;2;12.0;14.0
13;55;69.79694952484866;70.79694952484866;87;7;1.0;1.0
4;56;70.0;71.0;90;13;1.0;1.0
13;70;70.79694952484866;81.79694952484866;121;0;12.0;11.0
4;56;71.0;85.0;94;19;14.0;14.0
7;73;74.0;99.0;123;25;26.0;25.0
11;74;75.0;97.0;127;24;22.0;22.0
6;74;75.5543918740694;77.5543918740694;128;8;3.0;2.0
0;56;76.0;77.0;95;25;3.0;1.0
3;74;76.0;98.0;130;2;20.0;22.0
0;76;77.0;98.0;133;28;19.0;21.0
12;56;77.00248016816938;95.00248016816938;96;22;20.0;18.0
6;76;77.5543918740694;85.5543918740694;135;26;7.0;8.0
16;77;78.5459620114874;100.5459620114874;136;16;20.0;22.0
2;60;78.8381457027379;80.8381457027379;104;22;2.0;2.0
9;62;79.0;93.0;105;14;14.0;14.0
13;62;81.79694952484866;90.79694952484866;106;6;11.0;9.0
18;80;83.0;88.0;140;28;4.0;5.0
1;80;83.78065293043463;109.78065293043463;141;11;20.0;26.0
17;80;84.0;104.0;143;5;19.0;20.0
4;62;85.0;87.0;107;23;6.0;2.0
8;80;85.27500264928143;97.27500264928143;145;27;11.0;12.0
6;62;85.5543918740694;91.5543918740694;108;15;4.0;6.0
10;82;87.0;97.0;148;13;11.0;10.0
4;82;87.0;116.0;147;21;29.0;29.0
18;63;88.0;94.0;109;3;7.0;6.0
5;82;88.0;101.0;152;15;10.0;13.0
19;65;88.71411275619664;104.71411275619664;115;19;15.0;16.0
13;84;90.79694952484866;97.79694952484866;155;12;7.0;7.0
6;86;91.5543918740694;107.5543918740694;157;23;16.0;16.0
9;87;93.0;108.0;161;3;15.0;15.0
12;87;95.00248016816938;113.00248016816938;162;5;17.0;18.0
10;66;97.0;124.0;116;15;28.0;27.0
11;92;97.0;119.0;166;23;22.0;22.0
8;66;97.27500264928143;111.27500264928143;117;22;14.0;14.0
13;92;97.79694952484866;99.79694952484866;168;7;1.0;2.0
0;70;98.0;106.0;118;2;8.0;8.0
3;70;98.0;105.0;119;21;7.0;7.0
2;92;98.24628373866872;120.24628373866872;171;16;22.0;22.0
7;74;99.0;109.0;124;26;11.0;10.0
13;74;99.79694952484866;111.79694952484866;125;15;13.0;12.0
16;76;100.5459620114874;115.5459620114874;134;12;14.0;15.0
5;95;101.0;106.0;179;23;5.0;5.0
17;77;104.0;111.0;137;26;4.0;7.0
19;96;104.71411275619664;119.71411275619664;182;26;16.0;15.0
3;77;105.0;121.0;138;0;13.0;16.0
15;80;105.68728487828082;113.68728487828082;144;16;6.0;8.0
5;80;106.0;117.0;146;21;12.0;11.0
0;82;106.0;122.0;149;15;14.0;16.0
18;100;107.4278231892925;115.4278231892925;188;19;7.0;8.0
6;100;107.5543918740694;108.5543918740694;189;13;1.0;1.0
9;82;108.0;114.0;150;16;6.0;6.0
6;82;108.5543918740694;136.55439187406938;153;7;28.0;27.999999999999986
7;84;109.0;134.0;154;14;24.0;25.0
1;86;109.78065293043463;123.78065293043463;160;2;12.0;14.0
17;100;111.0;124.0;195;2;11.0;13.0
8;101;111.27500264928143;138.27500264928142;196;25;28.0;26.999999999999986
13;89;111.79694952484866;112.79694952484866;163;7;1.0;1.0
13;101;112.79694952484866;135.79694952484866;198;5;23.0;23.0
12;89;113.00248016816938;134.00248016816937;164;19;21.0;20.999999999999986
15;91;113.68728487828082;129.68728487828082;165;24;15.0;16.0
9;103;114.0;118.0;202;27;7.0;4.0
18;105;115.4278231892925;123.4278231892925;204;20;6.0;8.0
4;105;116.0;126.0;205;5;11.0;10.0
5;105;117.0;139.0;206;4;22.0;22.0
9;103;118.0;122.0;203;19;5.0;4.0
11;108;119.0;147.0;209;16;25.0;28.0
2;112;120.24628373866872;121.24628373866872;211;13;1.0;1.0
3;113;121.0;124.0;212;3;3.0;3.0
2;115;121.24628373866872;122.24628373866872;214;13;1.0;1.0
9;92;122.0;136.0;167;14;14.0;14.0
0;92;122.0;144.0;169;27;23.0;22.0
2;92;122.24628373866872;134.24628373866872;170;7;11.0;12.0
18;120;123.4278231892925;131.4278231892925;219;19;7.0;8.0
1;93;123.78065293043463;136.78065293043463;173;5;13.0;13.0
10;122;124.0;129.0;221;17;4.0;5.0
17;94;124.0;141.0;175;10;19.0;17.0
3;94;124.0;127.0;176;24;2.0;3.0
4;123;126.0;134.0;225;4;9.0;8.0
16;95;126.14334819690963;144.14334819690964;181;26;17.0;18.000000000000014
3;100;127.0;140.0;183;0;13.0;13.0
10;123;129.0;157.0;229;25;26.0;28.0
15;125;129.68728487828082;131.68728487828082;231;28;3.0;2.0
18;123;131.4278231892925;132.4278231892925;230;2;1.0;1.0
15;100;131.68728487828082;140.68728487828082;184;0;9.0;9.0
18;125;132.4278231892925;160.4278231892925;235;16;28.0;28.0
7;125;134.0;145.0;237;18;10.0;11.0
4;125;134.0;155.0;236;25;22.0;21.0
2;128;134.24628373866872;137.24628373866872;239;3;5.0;3.0
13;129;135.79694952484866;161.79694952484866;242;27;27.0;26.0
9;129;136.0;143.0;247;11;7.0;7.0
6;100;136.55439187406938;163.55439187406938;192;28;27.0;27.0
1;100;136.78065293043463;138.78065293043463;194;15;3.0;2.0
2;103;137.24628373866872;165.24628373866872;200;8;27.0;28.0
8;103;138.27500264928142;166.27500264928142;201;1;29.0;28.0
1;105;138.78065293043463;150.78065293043463;208;17;11.0;12.0
5;108;139.0;151.0;210;21;12.0;12.0
3;115;140.0;144.0;213;3;3.0;4.0
15;115;140.68728487828082;155.68728487828082;216;13;16.0;15.0
17;134;141.0;145.0;259;23;5.0;4.0
9;134;143.0;145.0;260;12;3.0;2.0
0;135;144.0;150.0;264;7;8.0;6.0
3;136;144.0;157.0;265;0;13.0;13.0
16;136;144.14334819690964;153.14334819690964;266;19;9.0;9.0
9;117;145.0;146.0;217;26;1.0;1.0
17;136;145.0;162.0;268;24;17.0;17.0
7;117;145.0;165.0;218;17;20.0;20.0
9;136;146.0;151.0;270;16;6.0;5.0
11;138;147.0;168.0;274;16;25.0;21.0
0;138;150.0;168.0;275;28;19.0;18.0
12;138;150.32411580538593;174.32411580538593;278;28;24.0;24.0
1;136;150.78065293043463;170.78065293043463;271;12;21.0;20.0
9;140;151.0;176.0;281;29;24.0;25.0
5;140;151.0;162.0;282;15;10.0;11.0
16;123;153.14334819690964;183.14334819690964;224;1;29.0;30.0
4;123;155.0;157.0;226;18;2.0;2.0
15;128;155.68728487828082;157.68728487828082;238;26;2.0;2.0
10;129;157.0;165.0;245;28;8.0;8.0
4;129;157.0;160.0;248;6;1.0;3.0
3;147;157.0;164.0;293;18;9.0;7.0
15;148;157.68728487828082;163.68728487828082;294;6;8.0;6.0
4;148;160.0;171.0;295;14;10.0;11.0
18;129;160.4278231892925;178.4278231892925;249;0;18.0;18.0
14;129;161.34513515767776;188.34513515767776;251;17;23.0;27.0
13;149;161.79694952484866;171.79694952484866;299;9;10.0;10.0
17;130;162.0;183.0;254;5;19.0;21.0
5;133;162.0;182.0;255;22;21.0;20.0
6;150;163.55439187406938;169.55439187406938;304;15;4.0;6.0
15;151;163.68728487828082;166.68728487828082;305;26;2.0;3.0
3;134;164.0;170.0;258;16;8.0;6.0
10;151;165.0;182.0;308;16;18.0;17.0
2;153;165.24628373866872;182.24628373866872;309;15;14.0;17.0
8;135;166.27500264928142;174.27500264928142;263;19;9.0;8.0
15;136;166.68728487828082;176.68728487828082;267;18;11.0;10.0
11;136;168.0;190.0;269;13;22.0;22.0
0;153;168.0;191.0;314;18;24.0;23.0
7;136;169.0866665676585;186.0866665676585;272;16;16.0;17.0
6;138;169.55439187406938;192.55439187406938;276;28;27.0;23.0
3;140;170.0;172.0;283;25;2.0;2.0
1;156;170.78065293043463;179.78065293043463;320;1;7.0;9.0
4;156;171.0;185.0;321;28;14.0;14.0
13;158;171.79694952484866;197.79694952484866;322;14;24.0;26.0
3;142;172.0;196.0;284;11;27.0;24.0
19;165;173.51785773685702;182.51785773685702;329;18;8.0;9.0
8;145;174.27500264928142;195.27500264928142;285;7;20.0;21.0
12;145;174.32411580538593;189.32411580538593;286;3;14.0;15.0
9;146;176.0;177.0;288;26;1.0;1.0
15;147;176.68728487828082;179.68728487828082;290;8;4.0;3.0
9;174;177.0;181.0;336;26;1.0;4.0
18;174;178.4278231892925;193.4278231892925;337;24;14.0;15.0
15;148;179.68728487828082;188.68728487828082;296;19;10.0;9.0
1;148;179.78065293043463;199.78065293043463;297;12;21.0;20.0
9;150;181.0;190.0;300;9;8.0;9.0
10;150;182.0;183.0;302;18;2.0;1.0
5;178;182.0;202.0;343;22;21.0;20.0
2;150;182.24628373866872;195.24628373866872;303;15;14.0;13.0
19;179;182.51785773685702;201.51785773685702;345;2;20.0;19.0
10;151;183.0;188.0;306;3;3.0;5.0
17;153;183.0;203.0;310;22;22.0;20.0
16;179;183.14334819690964;213.14334819690964;348;8;29.0;30.0
4;153;185.0;216.0;313;21;29.0;31.0
7;153;186.0866665676585;193.0866665676585;316;18;10.0;7.0
10;153;188.0;212.0;317;19;23.0;24.0
14;187;188.34513515767776;208.34513515767776;355;10;19.0;20.0
15;187;188.68728487828082;189.68728487828082;356;27;1.0;1.0
12;189;189.32411580538593;207.32411580538593;358;5;17.0;18.0
15;156;189.68728487828082;200.68728487828082;318;14;10.0;11.0
9;156;190.0;199.0;319;17;10.0;9.0
11;162;190.0;209.0;326;27;20.0;19.0
0;191;191.0;212.0;363;24;23.0;21.0
6;165;192.55439187406938;215.55439187406938;328;28;27.0;23.0
