server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;0;0.0;29.0;0;7;29.0;29.0
3;2;2.0;11.0;1;8;9.0;9.0
5;3;3.0;31.0;9;10;25.0;28.0
8;3;3.0;27.0;5;12;25.0;24.0
9;3;3.0;12.0;7;2;9.0;9.0
10;3;3.0;30.0;3;15;27.0;27.0
11;3;3.0;7.0;4;9;4.0;4.0
12;3;3.0;7.0;6;0;4.0;4.0
13;3;3.0;7.0;8;9;5.0;4.0
14;9;9.0;14.0;10;28;5.0;5.0
15;9;9.0;34.0;11;10;25.0;25.0
16;11;11.0;26.0;12;17;16.0;15.0
17;11;11.0;26.0;13;15;14.0;15.0
18;11;11.0;20.0;14;2;9.0;9.0
19;13;13.0;38.0;15;10;26.0;25.0
2;14;14.0;37.0;17;11;22.0;23.0
4;15;15.0;17.0;18;15;3.0;2.0
6;15;15.0;32.0;19;15;16.0;17.0
1;19;19.0;25.0;20;18;4.0;6.0
7;19;19.0;33.0;21;26;13.0;14.0
4;20;20.0;35.0;22;13;14.0;15.0
11;22;22.0;41.0;23;8;17.0;19.0
12;22;22.0;42.0;24;25;20.0;20.0
13;22;22.0;34.0;25;7;12.0;12.0
14;22;22.0;25.0;26;28;5.0;3.0
9;23;23.0;32.0;30;3;11.0;9.0
18;23;23.0;29.0;28;23;7.0;6.0
3;23;23.0;25.0;29;29;3.0;2.0
1;25;25.0;45.0;31;10;20.0;20.0
14;25;25.0;44.0;32;25;18.0;19.0
3;26;26.0;40.0;33;20;16.0;14.0
17;28;28.0;44.0;35;11;17.0;16.0
8;28;28.0;56.0;34;12;25.0;28.0
18;29;29.0;47.0;39;13;18.0;18.0
10;29;30.0;34.0;40;21;5.0;4.0
5;31;31.0;38.0;43;26;7.0;7.0
6;32;32.0;33.0;47;18;1.0;1.0
9;31;32.0;37.0;45;19;8.0;5.0
7;32;33.0;56.0;48;15;22.0;23.0
6;28;33.0;35.0;36;4;2.0;2.0
13;28;34.0;43.0;37;10;10.0;9.0
15;28;34.0;41.0;38;13;8.0;7.0
