server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;0;0.0;1.0;7;0;1.0;1.0
1;0;0.0;8.0;1;18;8.0;8.0
4;0;0.0;10.0;3;28;10.0;10.0
5;0;0.0;3.0;0;27;1.0;3.0
6;0;0.0;30.0;2;13;29.0;30.0
7;0;0.0;1.0;4;3;1.0;1.0
8;0;0.0;16.0;5;2;15.0;16.0
9;0;0.0;25.0;6;17;24.0;25.0
10;0;0.0;11.0;9;20;10.0;11.0
12;0;0.0;10.0;11;0;14.0;10.0
14;2;2.0;14.0;18;12;11.0;12.0
15;2;2.0;15.0;12;23;12.0;13.0
16;2;2.0;31.0;13;20;29.0;29.0
17;2;2.0;5.0;14;12;4.0;3.0
18;2;2.0;6.0;15;4;4.0;4.0
19;2;2.0;7.0;16;24;7.0;5.0
0;2;2.0;6.0;17;12;7.0;4.0
7;2;2.0;11.0;19;5;10.0;9.0
5;2;3.0;29.0;20;18;26.0;26.0
17;2;5.0;33.0;22;9;26.0;28.0
2;3;5.090097593338523;21.090097593338523;24;14;17.0;16.0
18;3;6.0;14.0;26;29;8.0;8.0
0;5;6.0;26.0;27;13;21.0;20.0
19;5;7.0;41.0;28;8;29.0;34.0
1;5;8.0;25.0;29;7;16.0;17.0
4;8;10.0;11.0;31;18;1.0;1.0
12;9;10.0;27.0;32;4;16.0;17.0
7;9;11.0;41.0;33;23;28.0;30.0
10;9;11.0;35.0;34;2;24.0;24.0
4;9;11.0;23.0;35;3;13.0;12.0
3;9;12.68720903936729;40.68720903936729;36;9;27.0;28.0
18;9;14.0;39.0;37;21;25.0;25.0
14;9;14.0;29.0;38;18;13.0;15.0
15;15;15.0;18.0;46;14;2.0;3.0
15;9;18.0;20.0;39;20;4.0;2.0
13;19;19.24473221901645;45.24473221901645;57;0;28.0;26.0
15;19;20.0;47.0;53;2;26.0;27.0
2;14;21.090097593338523;23.090097593338523;40;6;4.0;2.0
4;23;23.0;49.0;62;24;27.0;26.0
2;23;23.090097593338523;26.090097593338523;59;4;3.0;3.0
1;14;25.0;47.0;41;8;22.0;22.0
9;15;25.0;29.0;43;12;3.0;4.0
0;26;26.0;52.0;65;3;25.0;26.0
11;26;26.055833788687323;50.05583378868732;64;29;23.0;24.0
2;26;26.090097593338523;41.09009759333853;68;1;16.0;15.000000000000004
12;26;27.0;45.0;63;7;19.0;18.0
14;15;29.0;44.0;44;10;16.0;15.0
9;15;29.0;32.0;45;2;4.0;3.0
5;15;29.0;34.0;47;13;4.0;5.0
6;15;30.0;49.0;48;0;22.0;19.0
16;17;31.0;39.0;50;17;6.0;8.0
9;32;32.0;60.0;80;10;29.0;28.0
17;33;33.0;41.0;81;3;9.0;8.0
5;18;34.0;40.0;51;26;5.0;6.0
8;33;34.46752342594738;49.46752342594738;85;20;16.0;15.0
10;33;35.0;59.0;86;19;23.0;24.0
16;33;39.0;45.0;88;19;6.0;6.0
18;18;39.0;42.0;52;28;2.0;3.0
5;19;40.0;61.0;54;25;20.0;21.0
3;19;40.68720903936729;62.68720903936729;55;23;24.0;22.0
17;23;41.0;57.0;60;21;20.0;16.0
19;23;41.0;62.0;61;7;18.0;21.0
7;26;41.0;42.0;67;3;1.0;1.0
2;28;41.09009759333853;59.09009759333853;70;27;16.0;18.0
18;28;42.0;63.0;71;23;21.0;21.0
7;29;42.0;58.0;72;4;16.0;16.0
14;29;44.0;57.0;73;11;15.0;13.0
16;29;45.0;75.0;74;12;29.0;30.0
12;29;45.0;66.0;75;11;21.0;21.0
13;29;45.24473221901645;46.24473221901645;76;20;2.0;1.0
13;30;46.24473221901645;53.24473221901645;78;5;7.0;7.0
1;33;47.0;48.0;82;27;2.0;1.0
1;33;48.0;75.0;83;11;26.0;27.0
4;45;49.0;53.0;110;18;1.0;4.0
6;33;49.0;58.0;84;8;8.0;9.0
8;33;49.46752342594738;70.46752342594738;87;23;22.0;21.0
11;45;50.05583378868732;51.05583378868732;113;13;2.0;1.0
11;37;51.05583378868732;54.05583378868732;90;21;4.0;3.0
0;37;52.0;59.0;91;16;8.0;7.0
4;37;53.0;58.0;92;15;4.0;5.0
13;39;53.24473221901645;81.24473221901644;93;26;27.0;27.999999999999993
11;49;54.05583378868732;55.05583378868732;121;7;2.0;1.0
11;39;55.05583378868732;56.05583378868732;94;6;2.0;1.0
11;49;56.05583378868732;57.05583378868732;128;6;2.0;1.0
17;40;57.0;84.0;96;29;27.0;27.0
14;41;57.0;68.0;97;12;11.0;11.0
11;41;57.05583378868732;86.05583378868732;98;9;28.0;29.0
7;41;58.0;80.0;99;0;22.0;22.0
4;43;58.0;64.0;101;14;8.0;6.0
6;43;58.0;70.0;102;1;13.0;12.0
0;43;59.0;60.0;103;0;1.0;1.0
10;52;59.0;82.0;136;8;22.0;23.0
2;43;59.09009759333853;67.09009759333853;104;13;8.0;8.0
0;53;60.0;69.0;139;12;7.0;9.0
9;45;60.0;70.0;107;0;10.0;10.0
5;53;61.0;83.0;141;14;24.0;22.0
19;53;62.0;66.0;142;12;1.0;4.0
3;58;62.68720903936729;88.68720903936729;144;23;24.0;26.0
18;59;63.0;64.0;146;14;1.0;1.0
15;58;63.834327096319605;77.83432709631961;145;23;12.0;14.000000000000007
18;63;64.0;76.0;148;17;11.0;12.0
4;63;64.0;89.0;149;10;24.0;25.0
19;63;66.0;83.0;150;9;18.0;17.0
12;61;66.0;72.0;147;10;5.0;6.0
2;45;67.09009759333853;83.09009759333853;109;2;18.0;16.0
14;68;68.0;80.0;154;24;11.0;12.0
0;45;69.0;77.0;112;16;8.0;8.0
9;45;70.0;75.0;114;9;4.0;5.0
8;45;70.46752342594738;95.46752342594738;115;25;23.0;25.0
12;71;72.0;81.0;158;6;8.0;9.0
16;71;75.0;94.0;161;3;19.0;19.0
1;47;75.0;83.0;118;2;7.0;8.0
9;73;75.0;78.0;164;14;2.0;3.0
18;49;76.0;95.0;122;12;20.0;19.0
0;73;77.0;87.0;168;26;11.0;10.0
15;49;77.83432709631961;93.83432709631961;127;21;16.0;16.0
9;49;78.0;106.0;129;26;27.0;28.0
14;51;80.0;104.0;130;7;23.0;24.0
7;74;80.0;85.0;172;21;6.0;5.0
12;51;81.0;100.0;131;7;19.0;19.0
13;51;81.24473221901644;95.24473221901644;133;28;14.0;14.0
10;51;82.0;105.0;134;5;25.0;23.0
19;78;83.0;84.0;177;19;4.0;1.0
1;79;83.0;97.0;179;29;14.0;14.0
5;52;83.0;88.0;137;26;5.0;5.0
2;52;83.09009759333853;93.09009759333853;138;29;11.0;10.0
17;53;84.0;90.0;140;20;8.0;6.0
19;83;84.0;89.0;183;25;7.0;5.0
7;68;85.0;113.0;153;18;29.0;28.0
6;69;85.08975809011915;106.08975809011915;156;3;22.0;21.0
11;85;86.05583378868732;109.05583378868732;187;4;23.0;23.0
0;85;87.0;109.0;189;13;21.0;22.0
5;71;88.0;90.0;159;23;3.0;2.0
3;71;88.68720903936729;112.68720903936729;160;23;24.0;24.0
19;73;89.0;95.0;162;1;7.0;6.0
4;73;89.0;103.0;165;20;15.0;14.0
17;73;90.0;120.0;167;0;28.0;30.0
5;90;90.0;109.0;198;15;17.0;19.0
2;90;93.09009759333853;123.09009759333853;199;0;28.0;30.0
