server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;4;4.0;21.0;0;6;16.0;17.0
2;5;5.0;6.0;1;4;1.0;1.0
3;5;5.0;10.0;2;26;6.0;5.0
5;5;5.0;24.0;3;14;19.0;19.0
6;5;5.0;21.0;4;18;15.0;16.0
9;5;5.0;27.0;5;25;21.0;22.0
10;7;7.0;34.0;6;3;27.0;27.0
12;7;7.0;29.0;7;24;23.0;22.0
13;8;8.0;31.0;9;12;21.0;23.0
16;8;8.0;33.0;8;22;26.0;25.0
18;8;8.0;28.0;10;15;19.0;20.0
17;9;9.0;18.0;11;15;8.0;9.0
19;10;10.0;27.0;12;18;17.0;17.0
2;10;10.0;11.0;13;28;1.0;1.0
3;10;10.0;33.0;14;18;22.0;23.0
8;12;12.0;35.0;15;5;24.0;23.0
1;14;14.0;26.0;16;7;12.0;12.0
4;14;14.0;39.0;17;15;26.0;25.0
15;17;17.0;22.0;19;16;7.0;5.0
2;17;17.0;45.0;18;13;28.0;28.0
7;19;19.0;46.0;20;21;28.0;27.0
17;19;19.0;24.0;21;9;8.0;5.0
6;21;21.0;32.0;22;5;11.0;11.0
0;21;21.0;46.0;23;16;23.0;25.0
14;24;24.0;40.0;24;18;15.0;16.0
15;24;24.0;40.0;25;27;15.0;16.0
17;24;24.0;33.0;26;19;12.0;9.0
1;26;26.0;44.0;27;3;17.0;18.0
5;26;26.0;27.0;28;29;1.0;1.0
11;26;26.333306419286295;41.333306419286295;29;10;17.0;15.0
19;28;28.0;50.0;30;25;23.0;22.0
5;31;31.0;61.0;31;24;28.0;30.0
18;32;32.0;54.0;32;6;22.0;22.0
9;35;35.0;41.0;33;5;10.0;6.0
12;36;36.0;43.0;34;12;7.0;7.0
8;36;36.0;41.0;35;26;5.0;5.0
13;36;36.0;57.0;36;12;21.0;21.0
17;37;37.0;53.0;37;10;18.0;16.0
16;38;38.0;42.0;38;14;5.0;4.0
14;41;41.0;58.0;39;3;17.0;17.0
15;41;41.0;48.0;40;9;7.0;7.0
4;41;41.0;54.0;41;5;8.0;13.0
6;41;41.0;42.0;42;17;3.0;1.0
10;41;41.0;58.0;43;8;15.0;17.0
8;41;41.0;46.0;44;2;6.0;5.0
9;41;41.0;65.0;45;15;24.0;24.0
11;42;42.0;47.0;46;3;6.0;5.0
3;42;42.0;44.0;47;28;2.0;2.0
6;44;44.0;64.0;48;19;19.0;20.0
12;45;45.0;66.0;50;1;21.0;21.0
16;45;45.0;47.0;49;27;2.0;2.0
1;45;45.0;55.0;51;2;11.0;10.0
2;45;45.0;73.0;52;13;28.0;28.0
11;47;47.0;66.0;54;10;17.0;19.0
7;47;47.0;52.0;53;22;5.0;5.0
3;47;47.0;58.0;55;6;9.0;11.0
15;48;48.0;66.0;56;7;23.0;18.0
16;48;48.0;67.0;57;26;18.0;19.0
8;48;48.0;73.0;58;29;26.0;25.0
0;48;48.0;68.0;59;8;20.0;20.0
19;50;50.0;58.0;61;28;7.0;8.0
7;50;52.0;79.0;60;9;27.0;27.0
17;50;53.0;75.0;62;2;21.0;22.0
4;52;54.0;78.0;66;2;23.0;24.0
18;51;54.0;65.0;63;26;11.0;11.0
1;51;55.0;76.0;64;13;22.0;21.0
13;52;57.0;73.0;65;15;16.0;16.0
14;52;58.0;65.0;67;28;6.0;7.0
3;52;58.0;62.0;69;10;5.0;4.0
10;54;58.0;73.0;70;8;15.0;15.0
19;55;58.0;65.0;71;22;7.0;7.0
5;58;61.0;70.0;72;19;10.0;9.0
3;62;62.0;73.0;78;15;11.0;11.0
6;63;64.0;71.0;79;14;6.0;7.0
14;61;65.0;78.0;75;5;14.0;13.0
9;61;65.0;92.0;76;9;26.0;27.0
19;62;65.0;86.0;77;25;23.0;21.0
11;63;66.0;92.0;80;24;26.0;26.0
15;63;66.0;70.0;81;24;5.0;4.0
12;64;66.0;90.0;82;20;26.0;24.0
16;67;67.0;81.0;91;29;14.0;14.0
0;67;68.0;82.0;88;1;13.0;14.0
15;69;70.0;81.0;93;6;10.0;11.0
5;69;70.0;89.0;92;21;20.0;19.0
6;64;71.0;78.0;83;2;10.0;7.0
3;65;73.0;102.0;84;0;28.0;29.0
8;65;73.0;92.0;85;10;19.0;19.0
2;65;73.0;99.0;86;15;26.0;26.0
10;65;73.0;81.0;87;6;9.0;8.0
13;67;73.0;80.0;90;28;6.0;7.0
17;69;75.0;98.0;94;27;24.0;23.0
1;69;76.0;86.0;96;7;12.0;10.0
14;77;78.0;98.0;104;21;20.0;20.0
4;77;78.0;97.0;101;26;21.0;19.0
6;77;78.0;81.0;103;3;8.0;3.0
13;77;80.0;113.0;102;16;29.0;33.0
15;75;81.0;83.0;98;13;2.0;2.0
16;75;81.0;97.0;99;9;17.0;16.0
6;76;81.0;101.0;100;13;18.0;20.0
10;77;81.0;108.0;105;1;26.0;27.0
0;79;82.0;90.0;106;13;8.0;8.0
15;84;84.0;110.0;107;19;27.0;26.0
1;85;86.0;106.0;110;10;20.0;20.0
19;85;86.0;94.0;109;14;9.0;8.0
7;88;88.02901021010476;110.02901021010476;111;13;24.0;22.0
5;88;89.0;93.0;112;8;3.0;4.0
12;91;91.0;118.0;113;28;27.0;27.0
0;91;91.0;96.0;114;11;5.0;5.0
11;91;92.0;97.0;115;8;7.0;5.0
8;93;93.0;119.0;116;29;26.0;26.0
9;93;93.0;104.0;117;10;10.0;11.0
5;93;93.0;109.0;118;27;15.0;16.0
