server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;2;2.0;26.0;0;17;21.0;24.0
2;2;2.0;31.0;1;15;28.0;29.0
4;2;2.0;3.0;2;11;1.0;1.0
6;3;3.0;20.0;3;8;20.0;17.0
8;4;4.0;27.0;12;10;23.0;23.0
9;4;4.0;29.0;10;15;25.0;25.0
10;4;4.0;15.0;13;24;11.0;11.0
11;4;4.0;34.0;5;3;28.0;30.0
12;4;4.0;25.0;4;2;21.0;21.0
13;4;4.0;9.0;6;27;6.0;5.0
14;4;4.0;32.0;7;5;29.0;28.0
15;4;4.0;24.0;8;1;18.0;20.0
16;4;4.0;9.0;9;24;5.0;5.0
18;4;4.0;23.0;11;3;20.0;19.0
19;4;4.0;11.0;14;15;6.0;7.0
4;5;5.0;25.0;15;10;19.0;20.0
16;9;9.0;20.0;16;26;12.0;11.0
13;9;9.0;32.0;17;10;19.0;23.0
7;9;10.452211594012876;30.452211594012876;18;18;18.0;20.0
19;11;11.0;35.0;20;12;21.0;24.0
5;11;12.219082155372575;16.219082155372575;19;7;8.0;4.0
1;13;13.0;20.0;21;12;9.0;7.0
3;13;13.65345248996156;25.65345248996156;22;24;13.0;11.999999999999998
10;15;15.0;26.0;26;0;12.0;11.0
5;15;16.219082155372575;28.219082155372575;23;6;10.0;12.0
17;18;19.811964317808176;44.811964317808176;33;13;24.0;25.0
1;17;20.0;28.0;29;10;10.0;8.0
16;15;20.0;42.0;24;10;21.0;22.0
6;15;20.0;21.0;25;29;1.0;1.0
6;16;21.0;46.0;27;24;24.0;25.0
18;16;23.0;37.0;28;0;17.0;14.0
15;17;24.0;27.0;30;4;9.0;3.0
4;25;25.0;44.0;45;10;19.0;19.0
12;17;25.0;42.0;31;3;16.0;17.0
3;18;25.65345248996156;54.65345248996156;32;7;27.0;29.0
10;18;26.0;39.0;34;23;13.0;13.0
0;18;26.0;55.0;35;3;28.0;29.0
8;27;27.0;41.0;48;11;15.0;14.0
15;27;27.0;39.0;52;3;13.0;12.0
1;28;28.0;30.0;56;9;1.0;2.0
5;19;28.219082155372575;43.219082155372575;37;20;16.0;15.0
9;21;29.0;44.0;38;17;13.0;15.0
1;30;30.0;47.0;58;29;18.0;17.0
7;21;30.452211594012876;55.45221159401288;39;9;25.0;25.000000000000004
2;31;31.0;35.0;64;20;4.0;4.0
13;31;32.0;48.0;60;29;16.0;16.0
14;31;32.0;33.0;62;6;2.0;1.0
14;21;33.0;48.0;40;13;14.0;15.0
11;21;34.0;36.0;41;17;4.0;2.0
19;21;35.0;46.0;42;3;11.0;11.0
2;25;35.0;56.0;44;12;17.0;21.0
11;25;36.0;46.0;46;22;9.0;10.0
18;27;37.0;55.0;49;8;18.0;18.0
10;27;39.0;65.0;50;16;26.0;26.0
15;27;39.0;55.0;51;1;18.0;16.0
8;28;41.0;65.0;53;25;22.0;24.0
16;28;42.0;47.0;54;24;5.0;5.0
12;30;42.0;56.0;59;18;15.0;14.0
5;31;43.219082155372575;52.219082155372575;63;12;9.0;9.0
9;31;44.0;55.0;66;19;10.0;11.0
4;34;44.0;47.0;67;27;4.0;3.0
17;35;44.811964317808176;52.811964317808176;68;0;8.0;8.0
11;45;46.0;67.0;80;9;18.0;21.0
19;45;46.0;72.0;83;28;26.0;26.0
6;45;46.0;67.0;84;4;23.0;21.0
1;35;47.0;53.0;69;27;4.0;6.0
16;35;47.0;64.0;70;5;16.0;17.0
4;37;47.0;70.0;73;2;23.0;23.0
13;40;48.0;56.0;74;27;6.0;8.0
5;50;52.219082155372575;68.21908215537258;92;13;15.0;16.0
17;40;52.811964317808176;65.81196431780818;75;18;12.0;13.0
1;51;53.0;70.0;99;16;19.0;17.0
3;40;54.65345248996156;57.65345248996156;76;15;2.0;3.0
9;40;55.0;79.0;77;26;23.0;24.0
18;45;55.0;73.0;79;11;15.0;18.0
0;54;55.0;58.0;105;25;1.0;3.0
7;45;55.45221159401288;69.45221159401288;81;14;12.0;14.0
12;54;56.0;69.0;107;17;12.0;13.0
13;45;56.0;65.0;82;5;10.0;9.0
2;45;56.0;59.0;85;27;5.0;3.0
3;55;57.65345248996156;60.65345248996156;110;15;2.0;3.0
0;45;58.0;68.0;86;8;10.0;10.0
2;47;59.0;80.0;87;22;22.0;21.0
14;49;59.75086601504094;79.75086601504094;88;11;19.0;20.0
3;56;60.65345248996156;75.65345248996155;114;8;15.0;14.999999999999993
8;49;65.0;83.0;89;25;22.0;18.0
10;49;65.0;86.0;90;14;25.0;21.0
13;49;65.0;88.0;91;7;21.0;23.0
17;50;65.81196431780818;95.81196431780818;93;29;28.0;30.0
11;50;67.0;90.0;94;4;24.0;23.0
15;50;67.67274567497884;76.67274567497884;95;2;10.0;9.0
0;51;68.0;77.0;96;10;14.0;9.0
5;51;68.21908215537258;81.21908215537258;97;15;11.0;13.0
12;68;69.0;96.0;125;20;28.0;27.0
7;53;69.45221159401288;89.45221159401288;100;18;18.0;20.0
1;54;70.0;72.0;101;25;4.0;2.0
4;69;70.0;74.0;128;27;4.0;4.0
1;72;72.0;75.0;129;9;1.0;3.0
19;72;72.0;73.0;130;11;2.0;1.0
18;54;73.0;84.0;103;29;10.0;11.0
19;54;73.0;79.0;104;15;6.0;6.0
4;74;74.0;83.0;132;8;7.0;9.0
1;54;75.0;100.0;106;4;26.0;25.0
3;54;75.65345248996155;85.65345248996155;108;3;11.0;10.0
15;76;76.67274567497884;79.67274567497884;135;0;3.0;3.0
0;76;77.0;104.0;136;3;28.0;27.0
9;55;79.0;103.0;109;26;23.0;24.0
19;55;79.0;98.0;111;9;20.0;19.0
15;56;79.67274567497884;90.67274567497884;112;4;9.0;11.0
2;77;80.0;94.0;144;28;13.0;14.0
16;56;81.20116897892714;84.20116897892714;115;28;5.0;3.0
5;77;81.21908215537258;94.21908215537258;146;3;15.0;13.0
8;77;83.0;94.0;147;23;10.0;11.0
4;56;83.0;97.0;116;23;14.0;14.0
18;78;84.0;103.0;149;8;18.0;19.0
16;56;84.20116897892714;104.20116897892714;117;27;21.0;20.0
3;78;85.65345248996155;86.65345248996155;151;18;3.0;1.0
10;61;86.0;89.0;119;27;4.0;3.0
3;63;86.65345248996155;109.65345248996155;120;29;22.0;23.0
13;83;88.0;115.0;155;3;27.0;27.0
10;63;89.0;116.0;121;16;26.0;27.0
7;83;89.45221159401288;95.45221159401288;159;15;6.0;6.0
14;64;89.67457289706165;112.67457289706165;122;19;25.0;23.0
11;64;90.0;98.0;123;10;7.0;8.0
15;67;90.67274567497884;102.67274567497884;124;19;8.0;12.0
8;86;94.0;120.0;163;14;24.0;26.0
2;86;94.0;117.0;164;21;23.0;23.0
5;68;94.21908215537258;104.21908215537258;126;12;9.0;10.0
7;69;95.45221159401288;119.45221159401288;127;9;25.0;24.0
17;76;95.81196431780818;97.81196431780818;134;20;1.0;2.0
12;76;96.0;105.0;137;25;7.0;9.0
4;77;97.0;100.0;138;14;8.0;3.0
17;77;97.81196431780818;125.81196431780818;139;14;29.0;28.0
11;77;98.0;124.0;140;19;26.0;26.0
19;77;98.0;118.0;141;1;19.0;20.0
1;96;100.0;102.0;173;20;6.0;2.0
4;77;100.0;113.0;143;4;13.0;13.0
1;97;102.0;105.0;178;25;4.0;3.0
15;96;102.67274567497884;113.67274567497884;177;15;13.0;11.0
9;77;103.0;119.0;145;2;13.0;16.0
18;78;103.0;118.0;148;9;15.0;15.0
0;78;104.0;110.0;152;16;8.0;6.0
16;98;104.20116897892714;116.20116897892714;183;23;7.0;12.0
5;78;104.21908215537258;111.21908215537258;153;19;3.0;7.0
6;100;104.77511207245013;135.77511207245013;185;23;29.0;31.0
1;83;105.0;109.0;154;6;6.0;4.0
12;83;105.0;115.0;157;0;11.0;10.0
1;101;109.0;129.0;188;3;21.0;20.0
3;101;109.65345248996155;122.65345248996155;191;5;16.0;13.0
0;101;110.0;136.0;189;3;28.0;26.0
5;83;111.21908215537258;117.21908215537258;158;24;6.0;6.0
14;83;112.67457289706165;113.67457289706165;160;10;1.0;1.0
15;83;113.67274567497884;122.67274567497884;161;26;6.0;9.0
14;105;113.67457289706165;136.67457289706164;200;2;21.0;22.999999999999986
12;83;115.0;125.0;162;23;12.0;10.0
13;90;115.0;138.0;166;4;21.0;23.0
10;94;116.0;129.0;169;0;12.0;13.0
16;96;116.20116897892714;132.20116897892714;171;5;16.0;16.0
2;96;117.0;139.0;172;0;25.0;22.0
5;96;117.21908215537258;123.21908215537258;174;22;5.0;6.0
18;111;118.0;144.0;209;1;26.0;26.0
19;114;118.0;125.0;212;15;6.0;7.0
9;96;119.0;130.0;175;19;10.0;11.0
7;116;119.45221159401288;122.45221159401288;214;5;3.0;3.0
8;97;120.0;134.0;179;23;10.0;14.0
7;97;122.45221159401288;144.45221159401288;180;21;20.0;22.0
3;119;122.65345248996155;147.65345248996155;219;25;25.0;25.0
15;97;122.67274567497884;138.67274567497884;181;13;16.0;16.0
5;99;123.21908215537258;130.21908215537258;184;12;9.0;7.0
11;101;124.0;149.0;194;5;25.0;25.0
19;102;125.0;152.0;195;13;28.0;27.0
12;102;125.0;141.0;196;29;15.0;16.0
17;122;125.81196431780818;154.8119643178082;226;29;28.0;29.000000000000014
4;105;126.23691613989028;151.2369161398903;202;2;23.0;25.000000000000014
1;123;129.0;154.0;229;2;25.0;25.0
10;108;129.0;153.0;203;22;23.0;24.0
9;108;130.0;147.0;204;23;16.0;17.0
5;125;130.21908215537258;138.21908215537258;237;0;11.0;8.0
16;127;132.20116897892714;137.20116897892714;238;17;4.0;5.0
8;110;134.0;150.0;206;11;15.0;16.0
6;128;135.77511207245013;166.77511207245013;241;6;27.0;31.0
0;110;136.0;152.0;208;10;14.0;16.0
14;113;136.67457289706164;145.67457289706164;210;24;10.0;9.0
16;113;137.20116897892714;138.20116897892714;211;13;2.0;1.0
13;114;138.0;164.0;213;1;25.0;26.0
16;131;138.20116897892714;146.20116897892714;247;23;7.0;8.0
5;131;138.21908215537258;155.21908215537258;248;21;17.0;17.0
15;116;138.67274567497884;140.67274567497884;215;7;4.0;2.0
2;118;139.0;167.0;216;3;27.0;28.0
15;118;140.67274567497884;143.67274567497884;218;9;5.0;3.0
12;131;141.0;164.0;252;15;20.0;23.0
15;120;143.67274567497884;152.67274567497884;220;4;9.0;9.0
18;120;144.0;147.0;221;17;4.0;3.0
7;121;144.45221159401288;157.45221159401288;222;16;12.0;13.0
14;122;145.67457289706164;173.67457289706164;227;7;29.0;28.0
16;136;146.20116897892714;166.20116897892714;257;19;21.0;20.0
9;123;147.0;151.0;228;16;2.0;4.0
18;123;147.0;160.0;230;22;15.0;13.0
3;123;147.65345248996155;171.65345248996155;231;21;22.0;24.0
11;123;149.0;174.0;232;8;25.0;25.0
8;124;150.0;161.0;235;23;10.0;11.0
9;140;151.0;181.0;268;13;29.0;30.0
4;141;151.2369161398903;152.2369161398903;270;9;2.0;1.0
19;125;152.0;163.0;236;16;10.0;11.0
0;127;152.0;157.0;239;27;6.0;5.0
4;128;152.2369161398903;174.2369161398903;242;2;23.0;22.0
15;129;152.67274567497884;154.67274567497884;243;7;4.0;2.0
10;149;153.0;157.0;276;27;4.0;4.0
1;131;154.0;176.0;245;3;21.0;22.0
15;131;154.67274567497884;166.67274567497884;246;25;8.0;12.0
17;151;154.8119643178082;170.8119643178082;279;4;16.0;16.0
5;131;155.21908215537258;159.21908215537258;250;26;2.0;4.0
10;151;157.0;171.0;282;23;13.0;14.0
0;131;157.0;172.0;251;10;14.0;15.0
7;152;157.45221159401288;163.45221159401288;285;1;6.0;6.0
5;133;159.21908215537258;160.21908215537258;253;23;1.0;1.0
18;134;160.0;187.0;254;2;28.0;27.0
5;154;160.21908215537258;163.21908215537258;289;28;3.0;3.0
8;156;161.0;164.0;291;16;4.0;3.0
19;156;163.0;176.0;292;10;13.0;13.0
5;155;163.21908215537258;174.21908215537258;290;16;9.0;11.0
7;134;163.45221159401288;189.45221159401288;255;11;27.0;26.0
8;137;164.0;166.0;258;20;4.0;2.0
12;138;164.0;184.0;259;28;19.0;20.0
13;138;164.0;166.0;260;2;3.0;2.0
