server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;2;2.0;13.0;0;13;11.0;11.0
3;2;2.0;23.0;6;23;20.0;21.0
4;2;2.0;27.0;1;9;27.0;25.0
5;2;2.0;31.0;2;14;29.0;29.0
6;2;2.0;13.0;3;23;11.0;11.0
7;2;2.0;30.0;4;8;27.0;28.0
8;2;2.0;5.0;5;3;4.0;3.0
9;3;3.0;22.0;7;25;16.0;19.0
10;3;3.0;5.0;8;12;2.0;2.0
11;4;4.0;8.0;12;0;5.0;4.0
13;4;4.0;12.0;9;20;9.0;8.0
14;4;4.0;5.0;10;12;2.0;1.0
15;4;4.0;27.0;11;18;25.0;23.0
16;4;4.0;7.0;13;26;2.0;3.0
17;4;4.0;30.0;14;1;26.0;26.0
18;6;6.0;11.0;15;9;6.0;5.0
19;9;9.0;26.0;16;27;18.0;17.0
10;9;9.0;23.0;17;11;13.0;14.0
8;9;9.0;39.0;18;6;29.0;30.0
16;9;9.0;20.0;19;12;11.0;11.0
11;11;11.0;33.0;21;13;21.0;22.0
18;11;11.0;33.0;22;28;21.0;22.0
13;11;12.0;17.0;20;3;7.0;5.0
2;11;12.684186325232433;14.684186325232433;23;20;3.0;2.0
1;13;13.0;36.0;24;18;19.0;23.0
0;14;14.0;37.0;34;14;23.0;23.0
6;14;14.0;38.0;38;1;24.0;24.0
2;14;14.684186325232433;21.68418632523243;25;8;7.0;6.999999999999998
12;14;15.787528337735951;29.78752833773595;26;17;17.0;13.999999999999998
13;14;17.0;45.0;27;23;28.0;28.0
16;19;20.0;47.0;48;28;24.0;27.0
2;14;21.68418632523243;26.68418632523243;28;21;4.0;5.0
9;21;22.0;41.0;53;21;16.0;19.0
14;14;22.298904152480425;40.298904152480425;29;4;19.0;18.0
10;23;23.0;36.0;54;9;13.0;13.0
3;14;23.0;32.0;30;5;10.0;9.0
19;14;26.0;31.0;31;19;5.0;5.0
2;14;26.68418632523243;32.68418632523243;32;12;6.0;6.0
15;27;27.0;29.0;59;16;3.0;2.0
4;27;27.0;52.0;58;3;25.0;25.0
15;14;29.0;40.0;33;7;12.0;11.0
12;14;29.78752833773595;35.78752833773595;36;21;7.0;6.0
17;14;30.0;51.0;37;26;21.0;21.0
7;30;30.0;50.0;66;29;20.0;20.0
19;16;31.0;33.0;39;13;4.0;2.0
5;17;31.0;40.0;41;6;10.0;9.0
3;18;32.0;53.0;42;27;18.0;21.0
2;18;32.68418632523243;35.68418632523243;43;4;3.0;3.0
19;33;33.0;39.0;71;13;4.0;6.0
11;19;33.0;49.0;45;6;17.0;16.0
18;19;33.0;54.0;46;20;21.0;21.0
2;19;35.68418632523243;37.68418632523243;47;20;3.0;2.0
12;19;35.78752833773595;49.78752833773595;49;28;13.0;14.0
10;36;36.0;46.0;76;27;10.0;10.0
0;23;37.0;56.0;55;28;18.0;19.0
2;25;37.68418632523243;56.68418632523243;56;10;19.0;19.0
6;38;38.0;52.0;78;21;14.0;14.0
19;27;39.0;57.0;57;28;19.0;18.0
8;27;39.0;56.0;60;17;18.0;17.0
15;27;40.0;56.0;61;27;14.0;16.0
5;27;40.0;54.0;62;25;12.0;14.0
14;27;40.298904152480425;53.298904152480425;63;14;12.0;13.0
9;29;41.0;64.0;65;14;23.0;23.0
13;45;45.0;50.0;85;19;5.0;5.0
10;46;46.0;76.0;86;19;28.0;30.0
16;44;47.0;67.0;83;14;23.0;20.0
11;44;49.0;63.0;81;27;13.0;14.0
12;49;49.78752833773595;60.78752833773595;93;28;13.0;11.0
13;32;50.0;72.0;67;26;21.0;22.0
7;32;50.0;54.0;68;14;6.0;4.0
17;33;51.0;53.0;69;22;3.0;2.0
6;49;52.0;56.0;98;19;3.0;4.0
4;33;52.0;78.0;70;10;27.0;26.0
1;35;52.369768692406154;56.369768692406154;72;0;4.0;4.0
17;35;53.0;79.0;73;7;26.0;26.0
3;35;53.0;76.0;74;13;27.0;23.0
14;50;53.298904152480425;65.29890415248042;103;22;7.0;11.999999999999993
18;50;54.0;77.0;104;22;23.0;23.0
5;35;54.0;67.0;75;26;15.0;13.0
7;36;54.0;75.0;77;17;20.0;21.0
0;50;56.0;79.0;107;14;23.0;23.0
8;50;56.0;80.0;108;27;25.0;24.0
15;40;56.0;85.0;79;6;24.0;29.0
6;40;56.0;83.0;80;15;29.0;27.0
