server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;2;2.0;6.0;1;9;5.0;4.0
1;2;2.0;6.0;0;4;5.0;4.0
2;2;2.0;31.0;2;1;29.0;29.0
3;5;5.0;33.0;3;18;27.0;28.0
4;5;5.0;8.0;4;13;3.0;3.0
5;6;6.0;7.0;5;28;1.0;1.0
6;7;7.0;9.0;6;26;3.0;2.0
8;8;8.0;11.0;9;0;3.0;3.0
10;8;8.0;14.0;11;1;6.0;6.0
11;8;8.0;27.0;7;8;16.0;19.0
12;8;8.0;10.0;8;2;2.0;2.0
13;8;8.0;12.0;10;28;2.0;4.0
15;8;8.0;24.0;12;29;15.0;16.0
16;8;8.0;11.0;13;21;5.0;3.0
17;9;9.0;16.0;14;20;9.0;7.0
18;11;11.0;19.0;15;24;7.0;8.0
7;13;13.0;18.0;18;14;5.0;5.0
5;13;13.0;33.0;16;3;22.0;20.0
6;13;13.0;26.0;17;6;14.0;13.0
12;13;13.0;35.0;19;9;22.0;22.0
4;13;13.0;18.0;20;6;7.0;5.0
8;13;13.0;29.0;21;10;16.0;16.0
16;14;14.0;34.0;22;11;19.0;20.0
0;14;14.0;31.0;23;11;18.0;17.0
1;15;15.0;27.0;28;22;13.0;12.0
13;15;15.0;19.0;24;19;3.0;4.0
10;15;15.0;36.0;25;27;22.0;21.0
17;16;16.0;30.0;29;12;12.0;14.0
19;15;17.242377240349924;37.242377240349924;26;14;21.0;20.0
7;18;18.0;26.0;37;5;7.0;8.0
4;18;18.0;40.0;33;28;24.0;22.0
18;19;19.0;28.0;40;17;8.0;9.0
13;18;19.0;36.0;36;14;19.0;17.0
14;15;19.49900258317672;21.49900258317672;27;27;3.0;2.0
9;20;21.083923783659237;35.08392378365924;43;20;14.0;14.0
14;21;21.49900258317672;22.49900258317672;46;19;1.0;1.0
14;22;22.49900258317672;46.49900258317672;52;26;22.0;24.0
15;24;24.0;38.0;53;14;14.0;14.0
7;25;26.0;38.0;57;19;13.0;12.0
6;22;26.0;34.0;49;8;9.0;8.0
1;22;27.0;59.0;51;5;29.0;32.0
11;22;27.0;47.0;50;7;20.0;20.0
18;20;28.0;49.0;44;15;20.0;21.0
8;18;29.0;38.0;34;21;8.0;9.0
17;18;30.0;39.0;38;20;9.0;9.0
0;30;31.0;43.0;68;27;6.0;12.0
2;18;31.0;38.0;39;5;7.0;7.0
5;32;33.0;50.0;70;5;15.0;17.0
3;32;33.0;42.0;69;17;8.0;9.0
16;34;34.0;41.0;71;15;8.0;7.0
6;34;34.0;43.0;72;2;6.0;9.0
12;20;35.0;46.0;41;20;11.0;11.0
9;20;35.08392378365924;50.08392378365924;42;29;15.0;15.0
13;21;36.0;57.0;45;27;22.0;21.0
10;22;36.0;53.0;47;18;18.0;17.0
19;22;37.242377240349924;52.242377240349924;48;29;15.0;15.0
7;24;38.0;60.0;54;23;21.0;22.0
8;25;38.0;42.0;55;16;6.0;4.0
15;25;38.0;53.0;56;17;12.0;15.0
2;25;38.0;63.0;58;10;26.0;25.0
17;39;39.0;51.0;82;3;11.0;12.0
