server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;29.0;3;25;29.0;28.0
1;1;1.0;14.0;1;9;16.0;13.0
2;1;1.0;22.0;0;29;21.0;21.0
3;1;1.0;28.0;2;8;29.0;27.0
4;2;2.0;9.0;4;24;7.0;7.0
5;2;2.0;28.0;5;24;24.0;26.0
8;2;2.0;25.0;6;15;22.0;23.0
9;2;2.0;27.0;7;1;25.0;25.0
10;2;2.0;20.0;8;20;17.0;18.0
11;3;3.0;25.0;12;28;22.0;22.0
12;3;3.0;28.0;11;27;25.0;25.0
13;3;3.0;15.0;10;8;14.0;12.0
14;5;5.0;30.0;14;3;25.0;25.0
15;5;5.0;28.0;13;1;22.0;23.0
16;5;5.0;19.0;15;15;16.0;14.0
17;5;5.0;12.0;16;11;7.0;7.0
18;5;5.0;13.0;17;15;7.0;8.0
19;5;5.0;10.0;18;9;5.0;5.0
4;5;9.0;16.0;19;17;6.0;7.0
19;7;10.0;14.0;20;9;5.0;4.0
6;7;10.302089309092754;28.302089309092754;21;3;16.0;18.0
17;12;12.0;35.0;25;5;21.0;23.0
18;13;13.0;19.0;30;25;6.0;6.0
19;13;14.0;38.0;31;28;25.0;24.0
1;12;14.0;42.0;22;0;27.0;28.0
7;12;14.468356227892555;28.468356227892556;23;13;13.0;14.000000000000002
13;12;15.0;36.0;24;5;21.0;21.0
4;16;16.0;39.0;35;0;23.0;23.0
16;16;19.0;41.0;34;21;23.0;22.0
18;12;19.0;43.0;26;1;23.0;24.0
10;20;20.0;37.0;43;15;17.0;17.0
2;21;22.0;27.0;51;10;5.0;5.0
11;21;25.0;41.0;54;27;14.0;16.0
8;23;25.0;37.0;58;2;12.0;12.0
9;21;27.0;32.0;52;25;4.0;5.0
2;12;27.0;48.0;27;29;21.0;21.0
15;13;28.0;50.0;28;1;22.0;22.0
12;25;28.0;51.0;63;9;19.0;23.0
5;25;28.0;39.0;64;2;10.0;11.0
3;14;28.0;57.0;32;8;29.0;29.0
6;14;28.302089309092754;35.30208930909275;33;6;5.0;6.9999999999999964
7;16;28.468356227892556;53.468356227892556;37;17;24.0;25.0
14;17;30.0;41.0;38;17;9.0;11.0
9;31;32.0;58.0;69;1;25.0;26.0
17;31;35.0;42.0;70;25;7.0;7.0
6;17;35.30208930909275;50.30208930909275;39;3;16.0;15.0
13;19;36.0;62.0;40;18;27.0;26.0
8;20;37.0;47.0;41;6;9.0;10.0
10;36;37.0;62.0;75;19;25.0;25.0
19;20;38.0;68.0;42;20;29.0;30.0
4;20;39.0;70.0;44;19;27.0;31.0
5;20;39.0;54.0;47;13;15.0;15.0
16;21;41.0;42.0;49;0;4.0;1.0
14;38;41.0;62.0;80;22;21.0;21.0
11;38;41.0;48.0;81;29;7.0;7.0
16;38;42.0;48.0;82;14;7.0;6.0
17;21;42.0;48.0;50;21;7.0;6.0
18;39;43.0;46.0;85;22;6.0;3.0
18;21;46.0;69.0;53;4;24.0;23.0
8;21;47.0;64.0;55;23;15.0;17.0
16;44;48.0;59.0;91;19;11.0;11.0
17;41;48.0;69.0;89;5;21.0;21.0
11;21;48.0;69.0;56;28;22.0;21.0
2;23;48.0;51.0;57;26;3.0;3.0
15;48;50.0;68.0;97;13;21.0;18.0
6;49;50.30208930909275;75.30208930909275;99;15;29.0;25.0
12;49;51.0;52.0;104;1;1.0;1.0
2;49;51.0;73.0;102;9;22.0;22.0
12;49;52.0;78.0;103;27;25.0;26.0
7;24;53.468356227892556;58.468356227892556;59;21;7.0;5.0
5;54;54.0;73.0;108;9;18.0;19.0
