server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;12.0;0;9;14.0;11.0
2;5;5.0;25.0;2;25;21.0;20.0
3;5;5.0;21.0;1;22;17.0;16.0
5;5;5.0;28.0;3;6;22.0;23.0
6;5;5.0;14.0;4;9;8.0;9.0
7;5;5.0;26.0;5;0;20.0;21.0
9;9;9.0;10.0;6;22;1.0;1.0
12;9;9.0;25.0;7;0;14.0;16.0
14;10;10.0;27.0;8;0;17.0;17.0
16;11;11.0;30.0;9;27;18.0;19.0
18;11;11.0;22.0;10;19;13.0;11.0
15;11;11.0;16.0;11;10;3.0;5.0
11;12;12.0;27.0;12;0;16.0;15.0
4;16;16.0;21.0;13;13;6.0;5.0
1;17;17.0;40.0;14;16;25.0;23.0
8;17;17.0;20.0;15;16;3.0;3.0
19;17;17.0;32.0;16;28;13.0;15.0
9;18;18.0;35.0;17;27;14.0;17.0
15;18;18.0;22.0;18;26;3.0;4.0
6;18;18.0;38.0;19;23;21.0;20.0
0;18;18.0;35.0;20;28;18.0;17.0
17;19;19.0;46.0;22;23;27.0;27.0
13;19;19.0;30.0;21;9;12.0;11.0
10;21;21.0;51.0;25;22;29.0;30.0
8;21;21.0;45.0;23;3;26.0;24.0
4;21;21.0;37.0;24;1;14.0;16.0
3;21;21.0;47.0;26;18;26.0;26.0
15;21;22.0;27.0;27;28;4.0;5.0
18;21;22.0;46.0;28;29;24.0;24.0
12;23;25.0;37.0;33;0;14.0;12.0
15;27;27.0;53.0;41;15;26.0;26.0
11;27;27.0;48.0;46;16;24.0;21.0
14;22;27.0;34.0;29;22;7.0;7.0
5;23;28.0;46.0;30;8;19.0;18.0
13;30;30.0;47.0;48;10;18.0;17.0
16;29;30.0;36.0;47;1;8.0;6.0
19;23;32.0;58.0;31;20;27.0;26.0
14;34;34.0;53.0;62;3;20.0;19.0
9;34;35.0;36.0;63;25;3.0;1.0
9;24;36.0;42.0;34;0;6.0;6.0
16;24;36.0;56.0;35;25;18.0;20.0
4;26;37.0;50.0;37;12;11.0;13.0
12;26;37.0;44.0;38;24;8.0;7.0
6;27;38.0;57.0;40;25;22.0;19.0
